"","hashtags","Freq","Count"
"1","Virus",0.940062173718185,5667554
"2","China",0.0556224553874877,335343
"3","Lockdown",0.0336110284538807,202638
"4","Breaking",0.0239791113291714,144568
"5","Stayhome",0.0226811993005706,136743
"6","Stayathome",0.0210895361917586,127147
"7","ー19",0.0200019439653642,120590
"8","Iran",0.0197967660510666,119353
"9","Socialdistancing",0.0191731048079306,115593
"10","Trump",0.0178252667064085,107467
"11","Hydroxychloroquine",0.0171112077564881,103162
"12","Indiafights",0.0165318330963089,99669
"13","India",0.0156119327626833,94123
"14","Pandemic",0.015513407555656,93529
"15","Chinesevirus",0.0155110854127294,93515
"16","Wuhan",0.0147180736033057,88734
"17","Health",0.0128472557412496,77455
"18","Togetherathome",0.0122318878657085,73745
"19","Taiwan",0.0113921014630496,68682
"20","Worldhealthday",0.0113650650846902,68519
"21","Watch",0.010999991043163,66318
"22","Nhs",0.0103152906145286,62190
"23","Who",0.0100447609635832,60559
"24","Ppe",0.00921907328583556,55581
"25","Vir",0.00909434103720836,54829
"26","Flatteningthecurve",0.00908588180226157,54778
"27","Hygiene",0.00906697292414521,54664
"28","Selfquarantine",0.00905867955655032,54614
"29","Tablighijamaat",0.00896347169656094,54040
"30","Viruspandemic",0.00834047392283254,50284
"31","Sars2",0.00765162681040068,46131
"32","Nigeria",0.00746403083540419,45000
"33","Staysafe",0.00731143287165815,44080
"34","Stayhomesavelives",0.0071823880718816,43302
"35","Virusoutbreak",0.00688266576700215,41495
"36","2019",0.00663386473915534,39995
"37","Chinese",0.00649503376561683,39158
"38","Ccp",0.00624838901334469,37671
"39","Viru",0.00623694416606374,37602
"40","Quarantine",0.00602430222093067,36320
"41","Nyc",0.00558840282014306,33692
"42","Italy",0.00549518536837646,33130
"43","Update",0.00523145627885885,31540
"44","Pakistan",0.00506956974340652,30564
"45","Cdc",0.00499642224121956,30123
"46","Fakenews",0.00498928994508795,30080
"47","Odisha",0.00486820677820251,29350
"48","Russia",0.00452685176799669,27292
"49","Vaccine",0.0044328049794706,26725
"50","Africa",0.00442832656096935,26698
"51","Hongkong",0.00436297482432159,26304
"52","Canada",0.0042148552790768,25411
"53","Mentalhealth",0.00410886604121406,24772
"54","Aprilfoolsday",0.0040899571630977,24658
"55","Newyork",0.00391563057625304,23607
"56","Turkey",0.00391430363743785,23599
"57","Wuhanvirus",0.00387996909559499,23392
"58","Charleslieber",0.00368308454889222,22205
"59","Usa",0.00367976720185426,22185
"60","Tablighijamat",0.00365969725227462,22064
"61","Germany",0.00359998500559139,21704
"62","Ccpvirus",0.0035832324030497,21603
"63","Physicaldistancing",0.00347641382842747,20959
"64","Crisis",0.00346148576675667,20869
"65","Billgates",0.00345236306240228,20814
"66","Usnavy",0.00336893178439765,20311
"67","Outbreak",0.00332862601788647,20068
"68","Cdnpoli",0.00329943336395245,19892
"69","Worldhealthorganization",0.00325332224012484,19614
"70","Stayhom",0.00323723310699074,19517
"71","Flattenthecurve",0.00322744693322877,19458
"72","Hydroxycloroquine",0.00315015274724436,18992
"73","Virusupdates",0.00314451325727984,18958
"74","Ramadan",0.00309143570467252,18638
"75","Borisjohnson",0.00307534657153842,18541
"76","Fauci",0.00304482697878921,18357
"77","Dyk",0.00303686534589812,18309
"78","Thailand",0.00299854998760971,18078
"79","Quarantinelife",0.00299655957938693,18066
"80","Easter",0.00298644167092116,18005
"81","France",0.00292772462834932,17651
"82","Healthcare",0.00292523661807085,17636
"83","Lockdownextension",0.00291976299545822,17603
"84","Chinavirus",0.00290184932145325,17495
"85","Thala",0.00288459911685587,17391
"86","Stayhomestaysafe",0.00284744483003075,17167
"87","Lagos",0.0028119492167246,16953
"88","Biden",0.00278176135867919,16771
"89","Maga",0.00273830411248195,16509
"90","Earthday",0.00272304431610735,16417
"91","Virusupdate",0.0027107701320669,16343
"92","Ohio",0.00268605589663412,16194
"93","Climatechange",0.00264541839541914,15949
"94","Saudiarabia",0.00261357186385475,15757
"95","Spain",0.00260063421040672,15679
"96","Florida",0.00257442716880685,15521
"97","Alexjones",0.00254340997400195,15334
"98","Qanon",0.00253660941257414,15293
"99","Trumppressconf",0.0025158759935869,15168
"100","Cuba",0.00250675328923252,15113
"101","Pmcares",0.00249182522756171,15023
"102","Israel",0.00246379364509097,14854
"103","Paycheckprotectionprogram",0.00244969492017965,14769
"104","Japan",0.00239711496962803,14452
"105","Brazil",0.0023916413470154,14419
"106","Remdesivir",0.00234403741702071,14132
"107","Warriors",0.00234337394761312,14128
"108","Indian",0.00234221287614983,14121
"109","Wetmarkets",0.00231451302838289,13954
"110","Auspol",0.00226326001664645,13645
"111","Srilanka",0.00225861573079331,13617
"112","Tamilnadu",0.00223688710769469,13486
"113","Iot",0.00222146144396818,13393
"114","Icymi",0.00219591787177591,13239
"115","Medtwitter",0.00219359572884934,13225
"116","Btsarmy",0.00218994664710759,13203
"117","Lupus",0.00218082394275321,13148
"118","Kashmir",0.00214582593150275,12937
"119","Thalapathyvijay",0.00214101577829772,12908
"120","Masks",0.0021186236857915,12773
"121","Southkorea",0.00211414526729026,12746
"122","Trumpownseverydeath",0.0021030321547131,12679
"123","Chi",0.00204514444890075,12330
"124","Ajith",0.00202955291782235,12236
"125","Syria",0.00201661526437431,12158
"126","N95",0.00201429312144774,12144
"127","Maharashtra",0.0020023506721111,12072
"128","Breakingnews",0.00199289623305292,12015
"129","New",0.00198393939605043,11961
"130","Goodfriday",0.0019552443441721,11788
"131","Economy",0.00189768837306354,11441
"132","Kerala",0.00187977469905857,11333
"133","Wapo",0.00187877949494718,11327
"134","Healthyathome",0.00187065199470419,11278
"135","Australia",0.00185953888212703,11211
"136","Healthworkers",0.00185671913714477,11194
"137","Nurses",0.00185622153508907,11191
"138","Gujarat",0.0018464353613271,11132
"139","Mumbai",0.00183681505491702,11074
"140","Ahmedabad",0.00183631745286133,11071
"141","Nizamuddin",0.00183548811610184,11066
"142","Lka",0.00181724270739307,10956
"143","Taiwancanhelp",0.00181442296241081,10939
"144","Lockdowneffect",0.00181425709505891,10938
"145","Ontario",0.00181143735007665,10921
"146","Brexit",0.00181060801331716,10916
"147","Delhi",0.00179120153314511,10799
"148","Rentrelief",0.00176980464475028,10670
"149","Panorama",0.00176482862419335,10640
"150","Singapore",0.00173132341910998,10438
"151","Nizamuddinmarkaz",0.0017291671435353,10425
"152","Banyulin",0.00171871750036574,10362
"153","Lockdown2",0.00171672709214296,10350
"154","Healthcareheroes",0.00171258040834552,10325
"155","Startups",0.00170859959189997,10301
"156","Telangana",0.00170743852043668,10294
"157","Dogcatmeattrade",0.00170461877545442,10277
"158","Chinaliedpeopledied",0.00167691892768747,10110
"159","Uae",0.00164026224291804,9889
"160","Virusuk",0.00161106958898402,9713
"161","Icu",0.00159780020083219,9633
"162","Beijing",0.00157756438390065,9511
"163","Awaninews",0.00157507637362218,9496
"164","Humanrights",0.00157457877156649,9493
"165","Inthistogether",0.00157010035306525,9466
"166","Venezuela",0.0015503621381894,9347
"167","Lockdownsa",0.00154571785233626,9319
"168","News",0.00154571785233626,9319
"169","Democrats",0.00153327780094392,9244
"170","Testing",0.00153045805596165,9227
"171","Doctors",0.00152730657627559,9208
"172","Firefauci",0.00151785213721742,9151
"173","Sweden",0.00151387132077187,9127
"174","Chloroquine",0.00151071984108581,9108
"175","Punjab",0.00150823183080734,9093
"176","Live",0.00149678698352639,9024
"177","Earthday2020",0.00148351759537456,8944
"178","Pelosi",0.0014798685136328,8922
"179","Dogs",0.00147621943189105,8900
"180","America",0.00146892126840754,8856
"181","Rajasthan",0.0014644428499063,8829
"182","Cybersecurity",0.00144835371677221,8732
"183","Fakescience",0.00143276218569381,8638
"184","Yemen",0.00142994244071154,8621
"185","Donaldtrump",0.00142894723660016,8615
"186","Ireland",0.00142679096102548,8602
"187","Mco",0.00141385330757745,8524
"188","Washyourhands",0.00141219463405847,8514
"189","Iots",0.00141086769524329,8506
"190","Gaza",0.00140738448085343,8485
"191","Facemasks",0.00140489647057497,8470
"192","Sars",0.0014019108582408,8452
"193","Allunitedagainst",0.00139958871531423,8438
"194","Publichealth",0.00139892524590664,8434
"195","Andhrapradesh",0.00139162708242314,8390
"196","Virusindia",0.00139162708242314,8390
"197","Related",0.00138913907214467,8375
"198","Modi",0.00137188886754729,8271
"199","Joebiden",0.00137056192873211,8263
"200","Nursetwitte",0.0013634296326005,8220
