"","hashtags","Freq","Count"
"1","China",0.0555204469660705,334728
"2","Lockdown",0.0321323210117112,193723
"3","Breaking",0.0239671688798347,144496
"4","Stayhome",0.0226811993005706,136743
"5","Stayathome",0.0210895361917586,127147
"6","Covidー19",0.0200019439653642,120590
"7","Iran",0.0197919558978615,119324
"8","Socialdistancing",0.0191731048079306,115593
"9","Trump",0.0177308881831786,106898
"10","Hydroxychloroquine",0.0171112077564881,103162
"11","Indiafightscorona",0.0153772304597478,92708
"12","Chinesevirus",0.0153178499477684,92350
"13","Wuhan",0.0146630056424756,88402
"14","India",0.0140604095530306,84769
"15","Health",0.0128470898738977,77454
"16","Togetherathome",0.0122318878657085,73745
"17","Covi",0.0122106568446656,73617
"18","Taiwan",0.0113919355956977,68681
"19","Worldhealthday",0.0113650650846902,68519
"20","Pandemic",0.0113370335022195,68350
"21","Watch",0.0109880485938264,66246
"22","Nhs",0.0103119732674906,62170
"23","Who",0.0100442633615275,60556
"24","Ppe",0.00921857568377986,55578
"25","Flatteningthecurve",0.00908588180226157,54778
"26","Hygiene",0.00906630945473762,54660
"27","Selfquarantine",0.00905867955655032,54614
"28","Tablighijamaat",0.00896347169656094,54040
"29","Coronaviruspandemic",0.00883873944793374,53288
"30","Sarscov2",0.0076342107384514,46026
"31","Staysafe",0.00731010593284296,44072
"32","Stayhomesavelives",0.0071823880718816,43302
"33","Coronavirusoutbreak",0.0068785190832047,41470
"34","Chinese",0.00649121881652317,39135
"35","Ccp",0.00624059324780549,37624
"36","Quarantine",0.00598515752588277,36084
"37","Nyc",0.00551774332823457,33266
"38","Italy",0.00545454786716148,32885
"39","Pakistan",0.0050010665270727,30151
"40","Cdc",0.00499642224121956,30123
"41","Fakenews",0.00498912407773606,30079
"42","Odisha",0.00486820677820251,29350
"43","Covid19pandemic",0.00473584463138801,28552
"44","Russia",0.00452170988008786,27261
"45","Hongkong",0.00436297482432159,26304
"46","Vaccine",0.00432946961923822,26102
"47","Africa",0.00429148599565361,25873
"48","Mentalhealth",0.00410604629623179,24755
"49","Aprilfoolsday",0.0040899571630977,24658
"50","Update",0.00407187762174083,24549
"51","Newyork",0.00390816654541763,23562
"52","Turkey",0.00390385399426829,23536
"53","Charleslieber",0.00368308454889222,22205
"54","Tablighijamat",0.00365969725227462,22064
"55","Germany",0.00358538867862438,21616
"56","Ccpvirus",0.0035833982704016,21604
"57","Physicaldistancing",0.00347641382842747,20959
"58","Billgates",0.00345236306240228,20814
"59","Usnavy",0.00336893178439765,20311
"60","Usa",0.00332945535464596,20073
"61","Canada",0.0033266356096637,20056
"62","Cdnpoli",0.00329943336395245,19892
"63","Worldhealthorganization",0.00325332224012484,19614
"64","Stayhom",0.00323723310699074,19517
"65","Flattenthecurve",0.00322744693322877,19458
"66","Hydroxycloroquine",0.00315015274724436,18992
"67","Ramadan",0.00309143570467252,18638
"68","Borisjohnson",0.00307269269390806,18525
"69","Fauci",0.00304482697878921,18357
"70","Dyk",0.00303686534589812,18309
"71","Thailand",0.00299738891614642,18071
"72","Quarantinelife",0.00299655957938693,18066
"73","Easter",0.00298528059945788,17998
"74","Nigeria",0.00296404957841495,17870
"75","Healthcare",0.00292523661807085,17636
"76","Lockdownextension",0.00291976299545822,17603
"77","France",0.00288940927006091,17420
"78","Thala",0.00288459911685587,17391
"79","Stayhomestaysafe",0.00284744483003075,17167
"80","Chinavirus",0.00278972299157029,16819
"81","Biden",0.00278176135867919,16771
"82","Maga",0.00273797237777815,16507
"83","Earthday",0.00272304431610735,16417
"84","Ohio",0.00268340201900375,16178
"85","Climatechange",0.00264541839541914,15949
"86","Saudiarabia",0.00261357186385475,15757
"87","Spain",0.00259798033277635,15663
"88","Florida",0.00257193915852838,15506
"89","Alexjones",0.00254340997400195,15334
"90","Qanon",0.00253660941257414,15293
"91","Trumppressconf",0.0025158759935869,15168
"92","Cuba",0.00250642155452873,15111
"93","Pmcares",0.00249182522756171,15023
"94","Israel",0.00246379364509097,14854
"95","Crisis",0.00245035838958725,14773
"96","Paycheckprotectionprogram",0.00244969492017965,14769
"97","Covid19lagos",0.00242912736854432,14645
"98","Japan",0.00238981680614452,14408
"99","Brazil",0.00238832399997744,14399
"100","Remdesivir",0.00234403741702071,14132
"101","Indian",0.00234204700879794,14120
"102","Wetmarkets",0.00231451302838289,13954
"103","Wuhanvirus",0.00229394547674755,13830
"104","Auspol",0.00226326001664645,13645
"105","Srilanka",0.00225844986344141,13616
"106","Tamilnadu",0.00223307215860104,13463
"107","Icymi",0.00219591787177591,13239
"108","Medtwitter",0.00219359572884934,13225
"109","Btsarmy",0.00218994664710759,13203
"110","Lupus",0.00218082394275321,13148
"111","Thalapathyvijay",0.00214101577829772,12908
"112","Kashmir",0.00213205894129523,12854
"113","Masks",0.00211663327756873,12761
"114","Southkorea",0.00211414526729026,12746
"115","Trumpownseverydeath",0.00210286628736121,12678
"116","Chi",0.00204431511214126,12325
"117","Ajith",0.00202955291782235,12236
"118","Syria",0.00201644939702242,12157
"119","N95",0.00201429312144774,12144
"120","Maharashtra",0.0020020189374073,12070
"121","Breakingnews",0.00199206689629343,12010
"122","New",0.00198377352869853,11960
"123","Coronawarriors",0.00197266041612138,11893
"124","Related",0.00196652332410116,11856
"125","Goodfriday",0.0019552443441721,11788
"126","Economy",0.00189254648515471,11410
"127","Wapo",0.00187877949494718,11327
"128","Coronaoutbreak",0.00187479867850163,11303
"129","Kerala",0.00187131546411178,11282
"130","Healthyathome",0.00187065199470419,11278
"131","Healthworkers",0.00185671913714477,11194
"132","Nizamuddin",0.00183548811610184,11066
"133","Ahmedabad",0.00183432704463855,11059
"134","Mumbai",0.00183300010582337,11051
"135","Lka",0.00181724270739307,10956
"136","Taiwancanhelp",0.00181442296241081,10939
"137","Lockdowneffect",0.00181425709505891,10938
"138","Brexit",0.00180961280920577,10910
"139","Gujarat",0.00180894933979818,10906
"140","Delhi",0.00178970872697803,10790
"141","Rentrelief",0.00176980464475028,10670
"142","Panorama",0.00176482862419335,10640
"143","Nizamuddinmarkaz",0.0017291671435353,10425
"144","Singapore",0.00172767433736822,10416
"145","Banyulin",0.00171871750036574,10362
"146","Lockdown2",0.00171672709214296,10350
"147","Healthcareheroes",0.00171258040834552,10325
"148","Startups",0.00170859959189997,10301
"149","Telangana",0.00170743852043668,10294
"150","Dogcatmeattrade",0.00170461877545442,10277
"151","Chinaliedpeopledied",0.00167691892768747,10110
"152","Nurses",0.00167111357037105,10075
"153","Uae",0.00163959877351045,9885
"154","Coronavirusuk",0.00159746846612839,9631
"155","Icu",0.00158851162912591,9577
"156","Wuhancoronavirus",0.00158602361884744,9562
"157","Beijing",0.00157756438390065,9511
"158","Awaninews",0.00157507637362218,9496
"159","Humanrights",0.00157457877156649,9493
"160","Inthistogether",0.00157010035306525,9466
"161","Venezuela",0.0015503621381894,9347
"162","Lockdownsa",0.00154555198498436,9318
"163","News",0.00153510234181479,9255
"164","Democrats",0.00153327780094392,9244
"165","Doctors",0.00152730657627559,9208
"166","Firefauci",0.00151785213721742,9151
"167","Chloroquine",0.00151071984108581,9108
"168","Live",0.00149429897324792,9009
"169","Punjab",0.00149264029972894,8999
"170","Virus",0.00148384933007835,8946
"171","Earthday2020",0.00148351759537456,8944
"172","Pelosi",0.0014798685136328,8922
"173","Dogs",0.00147605356453915,8899
"174","America",0.00146825779899995,8852
"175","Rajasthan",0.0014642769825544,8828
"176","Sweden",0.00145979856405316,8801
"177","Cybersecurity",0.00144835371677221,8732
"178","Fakescience",0.00143276218569381,8638
"179","Yemen",0.00142927897130395,8617
"180","Donaldtrump",0.00142894723660016,8615
"181","Mco",0.00141385330757745,8524
"182","Washyourhands",0.00141219463405847,8514
"183","Covidiots",0.00141086769524329,8506
"184","Gaza",0.00140738448085343,8485
"185","Facemasks",0.00140373539911168,8463
"186","Allunitedagainstcov",0.00139958871531423,8438
"187","Publichealth",0.00139892524590664,8434
