"","hashtags","Freq","Count"
"1","Https",0.0625562082988744,377146
"2","Cases",0.0586618087436643,353667
"3","China",0.0555720317125107,335039
"4","Lockdown",0.04197306513246,253052
"5","Crisis",0.0363629336892183,219229
"6","Have",0.0333129648225203,200841
"7","And",0.0300516809495043,181179
"8","Patients",0.0283805673791333,171104
"9","Breaking",0.0239834238803207,144594
"10","Stayhome",0.02268202863733,136748
"11","Stayathome",0.0210895361917586,127147
"12","Iran",0.019792785234621,119329
"13","Aka",0.0195867779835639,118087
"14","Socialdistancing",0.0191731048079306,115593
"15","Testing",0.0184369855002078,111155
"16","Trump",0.0178506444112489,107620
"17","Hydroxychloroquine",0.0171246430119919,103243
"18","Has",0.0169433499963675,102150
"19","Positive",0.0160294208874102,96640
"20","Deaths",0.0158245747078164,95405
"21","Outbreak",0.015524686535585,93597
"22","Indiafightscorona",0.0153772304597478,92708
"23","Chinesevirus",0.0153178499477684,92350
"24","Wuhan",0.0146857294696856,88539
"25","India",0.0146212070697973,88150
"26","Health",0.0144697701775146,87237
"27","Update",0.0133490044807406,80480
"28","Response",0.0133135088674345,80266
"29","Togetherathome",0.0122318878657085,73745
"30","Taiwan",0.0113922673304015,68683
"31","Worldhealthday",0.0113650650846902,68519
"32","Watch",0.0110628547695323,66697
"33","Vaccine",0.0110139239007224,66402
"34","Infection",0.0108686241004599,65526
"35","Who",0.0107057423608962,64544
"36","Death",0.0104285780158748,62873
"37","Nhs",0.0103229205127159,62236
"38","Ppe",0.0093793011477689,56547
"39","Flatteningthecurve",0.00908588180226157,54778
"40","Hygiene",0.00907178307735025,54693
"41","Selfquarantine",0.00905867955655032,54614
"42","Tablighijamaat",0.00896347169656094,54040
"43","With",0.00890691092956377,53699
"44","Will",0.00810046386463632,48837
"45","Tests",0.00781168880498212,47096
"46","Was",0.00765046573893739,46124
"47","Sarscov2",0.0076342107384514,46026
"48","Staysafe",0.00731060353489866,44075
"49","Quarantine",0.0071901838374208,43349
"50","Stayhomesavelives",0.0071823880718816,43302
"51","Chinese",0.00650133672498894,39196
"52","Case",0.00635122677152137,38291
"53","From",0.00634293340392648,38241
"54","Ccp",0.00624075911515739,37625
"55","Relief",0.00611685620328968,36878
"56","Related",0.00606211997716338,36548
"57","Test",0.00593324104473874,35771
"58","Patient",0.00580966986757482,35026
"59","Are",0.00568925017009697,34300
"60","Nyc",0.00554162822690786,33410
"61","Italy",0.00551011343004727,33220
"62","Situation",0.0051102072446215,30809
"63","Pakistan",0.00502594662985738,30301
"64","Cdc",0.00502246341546753,30280
"65","Fakenews",0.00498962167979175,30082
"66","Odisha",0.00497585468958423,29999
"67","Should",0.00480268917420285,28955
"68","Covid19pandemic",0.0047363422334437,28555
"69","Can",0.00456732340185977,27536
"70","Russia",0.00452370028831063,27273
"71","Hongkong",0.00436297482432159,26304
"72","Africa",0.00432548880279268,26078
"73","Mentalhealth",0.00410604629623179,24755
"74","Aprilfoolsday",0.0040899571630977,24658
"75","Newyork",0.00390816654541763,23562
"76","Turkey",0.00390733720865814,23557
"77","While",0.00384911776814199,23206
"78","Healthcare",0.00371758495808698,22413
"79","Charleslieber",0.00368308454889222,22205
"80","Tablighijamat",0.00365969725227462,22064
"81","Data",0.00365422362966199,22031
"82","Symptoms",0.00359351617886737,21665
