"","hashtags","Freq","Count"
"1","Neet",0.0583079068644904,546488
"2","China",0.035473751743274,332476
"3","Jee",0.0324184143507392,303840
"4","Satyagrah",0.0263758114072829,247206
"5","Againstexamsincovid",0.0225858742819781,211685
"6","Helpjeeneet",0.0223881671934054,209832
"7","Swamyji",0.0220177198045634,206360
"8","Postponejeeneet",0.0203290473324427,190533
"9","Modiji",0.0200896222343547,188289
"10","Postponejee",0.0144192805062411,135144
"11","Protestagainstexamsincovid",0.0141236267866324,132373
"12","Breaking",0.0107176874010864,100451
"13","Indiaunitedtopostponejee",0.0105970145909539,99320
"14","Postponeneetandjee",0.00927078733193697,86890
"15","Wearamask",0.00911458486152662,85426
"16","Hongkong",0.00875790121495434,82083
"17","Bts",0.00816147238326453,76493
"18","Ccp",0.00799556060629178,74938
"19","Antistudentmodigovt",0.00718115250749244,67305
"20","Today",0.00659816733104286,61841
"21","Blood",0.00659571333048314,61818
"22","Lockdown",0.00616082175302917,57742
"23","Speakupforstudentsafety",0.00586154038041917,54937
"24","Trump",0.00528581050997226,49541
"25","Postponejeeandneet",0.005065377242303,47475
"26","Pandemic",0.00506142950227214,47438
"27","Neetincovid",0.00481080135815061,45089
"28","India",0.00479159613637884,44909
"29","Ntapostponejee",0.00455963973564652,42735
"30","Jeeneet",0.0045050115492735,42223
"31","Neetsept",0.00433877968527123,40665
"32","Hydroxychloroquine",0.00432586950841354,40544
"33","Postponeexams",0.00426249227656672,39950
"34","Dynamite",0.0041023420661255,38449
"35","Neetjee",0.00406830614531887,38130
"36","Resignmodi",0.00402829526662769,37755
"37","Scpostponejee",0.00383955061488185,35986
"38","Surakshabeforepariksha",0.00382013200175706,35804
"39","Neetjee2020",0.00380764860760542,35687
"40","Savejee",0.00369423110347549,34624
"41","Antistudentnarendramodi",0.003650805963136,34217
"42","Vaccine",0.00359500412432138,33694
"43","Postponeneet",0.00353792193738863,33159
"44","Btsarmy",0.00352501176053094,33038
"45","Rnc2020",0.00350879401770145,32886
"46","Neetstudentspm",0.00349246957919545,32733
"47","Postponeneetjee",0.00343047939114326,32152
"48","Sarscov2",0.00342055669322784,32059
"49","Neet2020",0.00327395683370337,30685
"50","Save30lakh",0.00326168683090474,30570
"51","Sonomacounty",0.00318742664005392,29874
"52","Ripsubhasri",0.00317312941940161,29740
"53","Mann",0.00316896828801772,29701
"54","Protestagainstexamslncovid",0.00316267324310364,29642
"55","Nahi",0.0030947080971669,29005
"56","Baat",0.00285997760884533,26805
"57","Trump2020",0.00278294333040525,26083
"58","Iran",0.00278144959093411,26069
