"","hashtags","Freq","Count"
"1","China",0.0377272716549216,367810
"2","Breaking",0.0131609003874274,128308
"3","ー19",0.0127016823259308,123831
"4","Hongkong",0.0117396527975017,114452
"5","Hydroxychloroquine",0.00966532470778828,94229
"6","Lockdown",0.00729845922442101,71154
"7","Wearamask",0.00717362822579661,69937
"8","Ccp",0.00616277408327941,60082
"9","Trumpvirus",0.0055971881125194,54568
"10","India",0.00518679466511084,50567
"11","Pandemic",0.00470265143297678,45847
"12","Trump",0.00388627516506258,37888
"13","Sars2",0.00374790456757342,36539
"14","Blood",0.00370441373485629,36115
"15","Indiafights",0.00363415142256565,35430
"16","Stayhome",0.00347608686309137,33889
"17","Florida",0.00298589184055563,29110
"18","Hcq",0.00297255738712821,28980
"19","Hongkongers",0.00280495356481739,27346
"20","Iran",0.00272658800775163,26582
"21","Safehands",0.00264904303243524,25826
"22","Socialdistancing",0.00246471985698081,24029
"23","Marr",0.00244605162218242,23847
"24","Vaccine",0.00243281974147367,23718
"25","Texas",0.00240543282558812,23451
"26","Staysafe",0.00226603650091223,22092
"27","Trump2020",0.00219854365202574,21434
"28","Chinese",0.00218059342625806,21259
"29","Auspol",0.00209043200654496,20380
"30","Pakistan",0.00187400357014605,18270
"31","Masks",0.00180938275738239,17640
"32","Delhi",0.00174589024452413,17021
"33","Arizona",0.00169583475781196,16533
"34","Cdc",0.0016569596974351,16154
"35","Mtvhottest",0.00164506126206909,16038
"36","Houston",0.00163736830816866,15963
"37","Hydroxychloroquineworks",0.00159387747545153,15539
"38","Wayfair",0.0015686445866581,15293
"39","Fauci",0.00153223127152937,14938
"40","Uyghur",0.00148925330240561,14519
"41","Truthwithrahulgandhi",0.0014755085581035,14385
"42","Fakenews",0.00146894390410846,14321
"43","Nationalsecuritylaw",0.00146443070448687,14277
"44","Who",0.00146073808661466,14241
"45","Mask",0.00144350586987769,14073
"46","Watch",0.00141478550864939,13793
"47","Ccot",0.00141406749961869,13786
"48","Wearadamnmask",0.00141109289077718,13757
"49","Worldhealthorganization",0.00140616940028091,13709
"50","Examsinasuicide",0.00140196391881533,13668
"51","Russia",0.00139786101006844,13628
"52","Amitabhbachchan",0.00138329568401694,13486
"53","Joebidenjob",0.00133959970586247,13060
"54","Speakupforstudents",0.00133365048817947,13002
"55","Hyderabad",0.00132513695252965,12919
"56","Usa",0.00130964847201011,12768
"57","Taiwan",0.00130369925432711,12710
"58","Tcot",0.0012988783365495,12663
"59","Medicareforall",0.00128718504662084,12549
"60","Bts",0.0012757994748482,12438
"61","Cancelcompartmentexam2020",0.00127344030231873,12415
"62","Stayathome",0.00126041356704732,12288
"63","Promote Ayush Students",0.00126031099432865,12287
"64","Maga",0.00124759197721327,12163
"65","Savegujaratnre",0.00120943492586711,11791
"66","Excludeduk",0.00120728089877498,11770
"67","Doctorsday",0.001195690181565,11657
"68","Ccps",0.00117763738307864,11481
"69","Update",0.00115835371196822,11293
"70","Blacklivesmatter",0.00113106936880134,11027
"71","Chinas",0.00112963335073992,11013
"72","Foxandfriends",0.0011256330147117,10974
"73","Kag",0.00111568346100047,10877
"74","Goyagives",0.00111476030653242,10868
"75","Uyghurs",0.00109598949901535,10685
"76","Postponekcet",0.00109568178085934,10682
"77","Kag2020",0.00109414319007925,10667
"78","Iot",0.00108809139967757,10608
"79","Saynotougcguidelines",0.00108706567249085,10598
"80","Noexammhrd",0.0010644996743829,10378
"81","Master",0.0010615250655414,10349
"82","Supdates",0.00106111477466671,10345
"83","Youractionssavelives",0.00105270381173557,10263
"84","Morningjoe",0.00104336969433638,10172
"85","Tiktok",0.00104060023093222,10145
"86","Maskup",0.00103588188587329,10099
"87","Nomasks",0.0010313686862517,10055
"88","Joebiden",0.00102808635925418,10023
"89","Odisha",0.00102572718672471,10000
"90","Fox35",0.00102008568719772,9945
"91","Realitywinner",0.00101998311447905,9944
"92","Postponekcet2020",0.00101413646951472,9887
"93","Xinjiang",0.000997827407245798,9728
"94","Whitecoatsummit",0.000996699107340401,9717
"95","Scamdemic",0.000995878525591021,9709
"96","Pmqs",0.000992288480437485,9674
"97","Vic",0.000986339262754482,9616
"98","Noexamugc",0.000982646644882273,9580
"99","Lisaforbrawlstars",0.000982031208570238,9574
"100","Beijing",0.000958644628712914,9346
"101","Studentslivesmatters",0.000958439483275569,9344
"102","Qanon",0.000949105365876375,9253
"103","Blm",0.000942438139162664,9188
"104","Giveaway",0.000940386684789215,9168
"105","Lisa",0.000930026840203295,9067
"106","Layzhang",0.000929103685735243,9058
"107","Cpec",0.000926744513205776,9035
"108","Advancehbdpawankalyan",0.000924693058832327,9015
"109","Heroesact",0.000919051559305341,8960
"110","Sooraraipottru",0.000917615541243926,8946
"111","Southchinasea",0.000915871805026494,8929
"112","Republicanss",0.000894741824979965,8723
"113","Borisjohnson",0.00088663858020484,8644
"114","Telangana",0.000872791263184056,8509
"115","Iots",0.000868688354437157,8469
"116","Donateplasmasavelives",0.000856584773633806,8351
"117","Killercuomo",0.000854738464697701,8333
"118","Nhs",0.00085053298323213,8292
"119","Atmanirbharbharat",0.000848584101577353,8273
"120","Cnn",0.000848071237983991,8268
"121","Tibet",0.000833813630088517,8129
"122","Wuhans",0.000832377612027103,8115
"123","Wayv",0.000830121012216308,8093
"124","Suriyabirthdayfestcdp",0.000827248976093479,8065
"125","Australia",0.000811350204699246,7910
"126","Sona2020",0.000809401323044469,7891
"127","Viswasam",0.000800067205645274,7800
"128","Aishwaryaraibachchan",0.000794015415243598,7741
"129","Bbnaija",0.000790733088246079,7709
"130","Barc",0.000782014407158919,7624
"131","Theri",0.000781501543565557,7619
"132","New",0.000768167090138136,7489
"133","Ohio",0.000757704672833544,7387
"134","Breakingnews",0.000754114627680007,7352
"135","Valimai",0.000750216864370453,7314
"136","Bsnl",0.000744165073968777,7255
"137","Thalapathyvijay",0.000737600419973739,7191
"138","Facemask",0.000730522902385339,7122
"139","Gravitas",0.000723958248390301,7058
"140","Hoax",0.000723753102952956,7056
"141","Themoreyouknow",0.000720060485080747,7020
"142","Gestapotrump",0.000713700976523054,6958
"143","Endthenightmare",0.00070816204971474,6904
"144","Chineses",0.000703033413781117,6854
"145","Constitutionovers",0.000700571668532977,6830
"146","Remdesi",0.000700469095814305,6829
"147","Facemasks",0.000699956232220942,6824
"148","News",0.000694930169005991,6775
"149","Hydroxyc",0.000683339451796002,6662
"150","Wwg1wga",0.000683339451796002,6662
"151","Postponejee Neetin",0.00068323687907733,6661
"152","Ugc",0.000678621106737069,6616
"153","Ppe",0.000678210815862379,6612
"154","Canada",0.000676467079644947,6595
"155","Plandemic",0.000675851643332912,6589
"156","Xijinping",0.000674313052552825,6574
"157","Oneloveoneheart",0.00067410790711548,6572
"158","Karnataka",0.0006732873253661,6564
"159","Israel",0.000672979607210083,6561
"160","America",0.000671338443711323,6545
"161","Andhrapradesh",0.00066374806252956,6471
"162","Standwithhongkong",0.00066333777165487,6467
"163","Hydroxycholoroquine",0.000663132626217525,6465
"164","Health",0.000656773117659832,6403
"165","Mentalhealth",0.000652259918038243,6359
"166","2800Gradepay Mphw Fhw",0.000651439336288864,6351
"167","Wuhan",0.000644156673263118,6280
"168","Oann",0.000642515509764359,6264
"169","Postponejee Neetsept",0.000631335083429059,6155
"170","Long",0.000630719647117025,6149
"171","Drfraudfauci",0.000630206783523662,6144
"172","Pune",0.000629591347211627,6138
"173","Obamagate",0.000627437320119505,6117
"174","Blackpink",0.000625488438464728,6098
"175","Ugcguidelines",0.000623847274965969,6082
"176","Takeresponsibility",0.000623231838653934,6076
"177","Hbdrealherosonusood",0.00062097523884314,6054
"178","Chennai",0.000608358794446426,5931
"179","Theweekintory",0.000607025349103684,5918
"180","Huawei",0.000606409912791649,5912
"181","Quarantinelife",0.000606409912791649,5912
"182","Layonsdc3",0.000603743022106165,5886
"183","Shelterinplace",0.000601281276858025,5862
"184","911",0.000599332395203248,5843
"185","Wesalutehealthheroes",0.000597280940829799,5823
"186","Kcet",0.000596973222673782,5820
"187","Democrats",0.000592254877614848,5774
"188","Brexit",0.000591024004990778,5762
"189","Mumbai",0.000590305995960071,5755
"190","Maheshbabubdaycdp",0.000587536532555914,5728
"191","Plasma",0.00058486964187043,5702
"192","Abhishekbachchan",0.000582613042059636,5680
"193","Quarantine",0.00057738183340734,5629
"194","Ladakh",0.000573689215535131,5593
"195","Pakistanfightingpolio",0.000572355770192388,5580
"196","Axin",0.000571842906599026,5575
"197","Kashmir",0.000569996597662922,5557
"198","Icymi",0.000567637425133455,5534
"199","Bihar",0.000563944807261246,5498
"200","Vaccines",0.000560252189389037,5462
"201","Folklore",0.000559739325795675,5457
"202","Lit Layzhang",0.000549482053928427,5357
"203","5Daysbanking",0.000548661472179048,5349
"204","Freehongkong",0.000547738317710995,5340
"205","Cancelcompartmentexams2020",0.000543840554401442,5302
"206","Uyghurgenocide",0.000543840554401442,5302
"207","Gujarat",0.000543019972652062,5294
"208","Urgent",0.000540147936529233,5266
"209","Lay",0.000539942791091888,5264
"210","Mondaythoughts",0.000539737645654543,5262
"211","U0001f1fa",0.000539429927498525,5259
"212","Cdnpoli",0.000539019636623835,5255
"213","Africa",0.000534916727876937,5215
"214","Bigdata",0.000532660128066142,5193
"215","Wakeupmhrd",0.000531634400879417,5183
"216","Science",0.000528454646600571,5152
"217","Enemyofthepeople",0.000524351737853672,5112
"218","Teamlayzhang",0.000520864265418808,5078
"219","Climatestrikeonline",0.000519941110950756,5069
"220","Tamilnadu",0.000519838538232083,5068
"221","Wakeupamerica",0.000519325674638721,5063
"222","California",0.000518299947451996,5053
"223","Mtrushmore",0.000517787083858634,5048
"224","Spandemic",0.000517376792983944,5044
"225","Faucithefraud",0.000516556211234564,5036
"226","Thefive",0.000516145920359874,5032
"227","Japan",0.000511632720738286,4988
"228","Uighur",0.000509888984520854,4971
"229","Cancel Exam2020",0.000506811802960679,4941
"230","Live",0.000505888648492627,4932
"231","Cancelfinalyearexam",0.00050435005771254,4917
"232","Msm",0.000503324330525815,4907
"233","Bairavaa",0.000499734285372279,4872
"234","Brazil",0.000498811130904227,4863
"235","Germany",0.000493887640407948,4815
"236","Warroompandemic",0.000491938758753171,4796
"237","Cybersecurity",0.000490707886129101,4784
"238","Drfauci",0.000485886968351495,4737
"239","China Get Out Of Iran",0.000484040659415391,4719
"240","Bengaluru",0.000483117504947339,4710
"241","Uighurs",0.000482707214072649,4706
"242","Eidaladha",0.000480245468824509,4682
"243","Prabhas",0.000480142896105837,4681
"244","Hermancain",0.000479732605231147,4677
"245","Start Alp Joining Training",0.000479527459793802,4675
"246","Media",0.000476347705514956,4644
"247","Postponeneetandjee",0.000475834841921593,4639
"248","Foxnews",0.000471834505893367,4600
"249","Onlinetraining For Alp",0.000471834505893367,4600
"250","Panorama",0.000460243788683378,4487
"251","Srilanka",0.000460141215964705,4486
"252","Innerengineeringonline",0.000459833497808688,4483
"253","Illinois",0.000457884616153911,4464
"254","Communication",0.000456038307217806,4446
"255","Radheshyam",0.000454602289156392,4432
"256","Thegreatawakening",0.000454294571000374,4429
"257","Ruhspromotestudents",0.000453884280125684,4425
"258","Justiceforkarnatakastudents",0.000450294234972148,4390
"259","Beijingbiden",0.000449883944097458,4386
"260","Deathsantis",0.000448345353317371,4371
"261","Aus",0.000447114480693301,4359
"262","Deepstate",0.000445883608069232,4347
"263","Billgates",0.000445063026319852,4339
"264","Ccpchina",0.000444447590007817,4333
"265","Happyfourthofjuly",0.000444345017289145,4332
"266","S3599",0.000442703853790385,4316
"267","Ipac",0.000441062690291625,4300
"268","U0001f1e9",0.000440960117572953,4299
"269","Trumppressconference",0.000440036963104901,4290
"270","Wangyibo",0.00043542119076464,4245
"271","Thailand",0.000435216045327295,4243
"272","Chinesecommunistparty",0.0004329594455165,4221
"273","Thingsiwillmissaboutlockdown",0.000431933718329776,4211
"274","Cancelcompartment",0.000430702845705706,4199
"275","Biden",0.000430497700268361,4197
"276","Bbcnews",0.000428343673176239,4176
"277","Nationaldoctorsday",0.000426497364240135,4158
"278","Inclusi",0.000426087073365445,4154
"279","Recklesstrump",0.000424343337148013,4137
"280","Nigeria",0.000421984164618546,4114
"281","Rubyprincess",0.000421573873743856,4110
"282","Hydrochloroquine",0.000417778683152975,4073
"283","Warriors",0.000416240092372888,4058
"284","Onev1",0.000415727228779525,4053
"285","Speakupfordemocracy",0.000414291210718111,4039
"286","Humanrights",0.000413162910812713,4028
"287","Xitler",0.000410701165564574,4004
"288","Ussnimitz",0.000410598592845902,4003
"289","Hajj",0.000409572865659177,3993
"290","Freetibet",0.000408752283909797,3985
"291","Lockdowndiaries",0.00040844456575378,3982
"292","Indian",0.000405059666037588,3949
"293","Promotemedicalstudents",0.000403315929820156,3932
"294","Nepal",0.000402392775352104,3923
"295","Cauverycalling",0.000401469620884052,3914
"296","Stayhomestaysafe",0.000400341320978655,3903
"297","Neet",0.000399931030103965,3899
"298","Newyork",0.000399931030103965,3899
"299","Hydroxychlor",0.000399007875635912,3890
"300","Healthcare",0.000397058993981135,3871
"301","Saudiarabia",0.000396238412231756,3863
"302","U0001f1ec",0.000396033266794411,3861
"303","Climatechange",0.000395212685045031,3853
"304","Trumphasnocredibility",0.000394392103295651,3845
"305","Webinar",0.000393058657952909,3832
"306","Twitter",0.000391930358047512,3821
"307","Schoolsreopening",0.000391212349016805,3814
"308","Thread",0.000390391767267425,3806
"309","Shinee",0.000389981476392735,3802
"310","Onew",0.000389571185518045,3798
"311","No2irchinatreaty",0.000389468612799373,3797
"312","Secondwave",0.00038854545833132,3788
"313","Yemen",0.000388032594737958,3783
"314","Bollywood",0.000386801722113888,3771
"315","4Thofjuly",0.000386494003957871,3768
"316","Banted",0.000385878567645836,3762
"317","Innovation",0.000385775994927164,3761
"318","Als",0.000384955413177784,3753
"319","Nyc",0.000384032258709732,3744
"320","Cuba",0.000382596240648317,3730
"321","U0001f1e7uk",0.000382185949773627,3726
"322","U0001f1eagermany",0.000382185949773627,3726
"323","U0001f1f8us",0.000382185949773627,3726
"324","Pmik Voiceofpoors",0.00038187823161761,3723
"325","Technology",0.000380031922681505,3705
"326","Musicbank",0.000378595904620091,3691
"327","Sopstosustainsuccess",0.000377672750152038,3682
"328","Fakenewsmedia",0.000374800714029209,3654
"329","Bloodaid",0.000373467268686467,3641
"330","Faceerings",0.000373056977811777,3637
"331","Hiv",0.000373056977811777,3637
"332","Syria",0.00037151838703169,3622
"333","Education",0.000371108096157,3618
"334","Herdimmunity",0.000370492659844965,3612
"335","Maharashtra",0.000369774650814258,3605
"336","Democracy",0.000367928341878154,3587
"337","Cure",0.000367005187410101,3578
"338","Safewithtwitter",0.000367005187410101,3578
"339","Podcast",0.000366697469254084,3575
"340","Economy",0.000365364023911342,3562
"341","Malaysia",0.000365364023911342,3562
"342","Bbcbreakfast",0.000365158878473997,3560
"343","Love",0.000363928005849927,3548
"344","Noexamsin",0.000360440533415063,3514
"345","王一博",0.000360440533415063,3514
"346","Aaradhyabachchan",0.000359004515353649,3500
"347","Frontline",0.000358183933604269,3492
"348","Btsiscoming",0.000357773642729579,3488
"349","Nomask",0.000357568497292234,3486
"350","Chengdu",0.000356029906512147,3471
"351","Chin",0.000356029906512147,3471
"352","9News",0.000354696461169405,3458
"353","Bubonicplague",0.000354286170294715,3454
"354","Moscowmitch",0.000353363015826663,3445
"355","Nobodylikestrump",0.000352747579514628,3439
"356","Hcqworks",0.000352645006795955,3438
"357","Bigil",0.000350593552422506,3418
"358","Thalaajith",0.000350490979703834,3417
"359","Mars",0.000350285834266489,3415
"360","Studentsinscagainstugc",0.000350183261547816,3414
"361","Lac",0.000349054961642419,3403
"362","Exo",0.000348336952611712,3396
"363","Payrollsupportprogram",0.000348029234455694,3393
"364","Ppp",0.000347516370862332,3388
"365","Gop",0.000345977780082245,3373
"366","Istandwithfauci",0.000345670061926227,3370
"367","Keepyourchildhome",0.000345670061926227,3370
"368","Saturdaymotivation",0.000344849480176848,3362
"369","Pilots",0.000344439189302158,3358
"370","Lockdownextension",0.000343926325708795,3353
"371","Ripnta",0.000343823752990123,3352
"372","Travel",0.000343413462115433,3348
"373","Galwanvalley",0.000343208316678088,3346
"374","Indianterroristarmy",0.000340951716867294,3324
"375","Uae",0.000339310553368534,3308
"376","Bri",0.000339207980649862,3307
"377","Boycottmadeinchina",0.000338797689775172,3303
"378","Publichealth",0.00033828482618181,3298
"379","Yixing",0.00033746424443243,3290
"380","Spain",0.000337259098995085,3288
"381","Ajith",0.000336438517245705,3280
"382","Hkpolice",0.000336130799089688,3277
"383","Idiots",0.000332848472092169,3245
"384","U0001f1ef",0.000332848472092169,3245
"385","왕이보",0.000331720172186771,3234
"386","Jisoo",0.000331309881312081,3230
"387","Ladakhretributionofiok",0.000329258426938632,3210
"388","Assam",0.00032874556334527,3205
"389","Fhw Mphw 2800Gp",0.000328642990626597,3204
"390","Opinion",0.000327412118002528,3192
"391","Business",0.000326899254409165,3187
"392","Tech",0.000326591536253148,3184
"393","Threegorgesdam",0.000325668381785096,3175
"394","Telanganafights",0.000325258090910406,3171
"395","Smartnews",0.000324950372754388,3168
"396","Boycottchina",0.000323822072848991,3157
"397","Thalapathy",0.000322078336631559,3140
"398","Washyourhands",0.000320642318570144,3126
"399","Docto",0.000320334600414127,3123
"400","Patna",0.00032002688225811,3120
"401","Ghislainemaxwell",0.00031961659138342,3116
"402","Maskupamerica",0.00031838571875935,3104
"403","Nih",0.000318283146040678,3103
"404","Election2020",0.000315616255355193,3077
"405","Ishayogacenter",0.000314385382731124,3065
"406","Rosé",0.000313257082825727,3054
"407","Zhangyixing",0.000313154510107054,3053
"408","Agricultur",0.000312744219232364,3049
"409","Happybirthdaysonusood",0.000312641646513692,3048
"410","France",0.000312026210201657,3042
"411","N95",0.00030966703767219,3019
"412","Racistinchief",0.000306897574268033,2992
"413","Cancelexamsin",0.000305051265331929,2974
"414","Pmsurrendermodi",0.000304948692613256,2973
"415","Collector",0.000303615247270514,2960
"416","Durg",0.000303615247270514,2960
"417","Kerala",0.000303102383677152,2955
"418","Italy",0.000301461220178392,2939
"419","Galwan",0.00030094835658503,2934
"420","Newnormal",0.00030012777483565,2926
"421","Alterph",0.000299307193086271,2918
"422","Indianarmy",0.000298999474930253,2915
"423","Armenia",0.000298281465899546,2908
"424","Tuesdaythoughts",0.000297768602306183,2903
"425","Happeningnow",0.000297050593275476,2896
"426","Chanyeol",0.000295614575214062,2882
"427","Bigpharma",0.000292947684528577,2856
"428","Nhsbirthday",0.000292332248216542,2850
"429","Flattenthecurve",0.000292127102779198,2848
"430","Americafirst",0.000291716811904508,2844
"431","Hamburg",0.000291101375592473,2838
"432","Justice",0.000287716475876281,2805
"433","Mondaymotivation",0.000287511330438936,2803
"434","Karen",0.000285665021502832,2785
"435","Ontario",0.00028515215790947,2780
"436","Walletpower",0.000285049585190797,2779
"437","Softwareinaweekhardwareinayear",0.000284126430722745,2770
"438","Supportmadeinindia",0.000283716139848055,2766
"439","26Weekspregnant",0.000283305848973365,2762
"440","Cookcounty",0.000282382694505313,2753
"441","Insa",0.000281767258193278,2747
"442","Leicester",0.000280741531006553,2737
"443","Rajasthan",0.000280536385569208,2735
"444","Itsabeautifudaytosavelives",0.000279613231101156,2726
"445","Walkaway",0.000279510658382484,2725
"446","Studentslivesmatter",0.000279202940226466,2722
"447","Maternitypetition",0.000277869494883724,2709
"448","Ndaa",0.000276843767696999,2699
"449","Thereidout",0.000276741194978327,2698
"450","Bubonicpla",0.000276536049540982,2696
"451","Johnlewis",0.000276536049540982,2696
