"","hashtags","Freq","Count"
"1","China",0.0383554269840718,373934
"2","Breaking",0.0132611139335704,129285
"3","Hongkong",0.0117817076121574,114862
"4","Hydroxychloroquine",0.00966532470778828,94229
"5","Lockdown",0.00724871145586486,70669
"6","Wearamask",0.00717373079851528,69938
"7","Ccp",0.00634258405911225,61835
"8","Trumpvirus",0.00555964649748528,54202
"9","Pandemic",0.0049108740518819,47877
"10","India",0.00466480209978664,45478
"11","Sarscov2",0.00374492995873192,36510
"12","Blood",0.00370882436175921,36158
"13","Trump",0.0036969259263932,36042
"14","Stayhome",0.00347618943581004,33890
"15","Iran",0.00321165439435374,31311
"16","Indiafightscorona",0.00305912876168778,29824
"17","Hcq",0.00297255738712821,28980
"18","Florida",0.00290721856533385,28343
"19","Hongkongers",0.00280495356481739,27346
"20","Safehands",0.00264904303243524,25826
"21","Socialdistancing",0.00246471985698081,24029
"22","Marr",0.00244605162218242,23847
"23","Staysafe",0.00226706222809896,22102
"24","Texas",0.00225280462020348,21963
"25","Trump2020",0.00219864622474442,21435
"26","Chinese",0.00217936255363399,21247
"27","Auspol",0.00209043200654496,20380
"28","Promote",0.00209032943382629,20379
"29","Students",0.00197308881638365,19236
"30","Pakistan",0.00186959294324313,18227
"31","Masks",0.00180671586669691,17614
"32","Delhi",0.00174609538996147,17023
"33","Alp",0.0017418899084959,16982
"34","Vaccine",0.00166619124211562,16244
"35","Cdc",0.00165860086093386,16170
"36","Mtvhottest",0.00164506126206909,16038
"37","Arizona",0.00163531685379521,15943
"38","Houston",0.00162444414561592,15837
"39","Hydroxychloroquineworks",0.00159387747545153,15539
"40","Wayfair",0.0015686445866581,15293
"41","Fauci",0.00153223127152937,14938
"42","Uyghur",0.00149058674774835,14532
"43","Layzhang",0.00148207321209853,14449
"44","Truthwithrahulgandhi",0.0014755085581035,14385
"45","Fakenews",0.00146894390410846,14321
"46","Nationalsecuritylaw",0.00146443070448687,14277
"47","Who",0.00146412298633085,14274
"48","Mask",0.00144986537843538,14135
"49","Postponejee",0.00141540094496143,13799
"50","Ccot",0.00141406749961869,13786
"51","Wearadamnmask",0.00141109289077718,13757
"52","Worldhealthorganization",0.00140616940028091,13709
"53","Examsincovidasuicide",0.00140196391881533,13668
"54","Russia",0.00139806615550578,13630
"55","Ayush",0.0013830905385796,13484
"56","Amitabhbachchan",0.00138247510226756,13478
"57","Speakupforstudents",0.00134349746917203,13098
"58","Joebidenjob",0.00133959970586247,13060
"59","Hyderabad",0.00132513695252965,12919
"60","Watch",0.00130862274482339,12758
"61","Taiwan",0.00130390439976445,12712
"62","Tcot",0.0012988783365495,12663
"63","Bts",0.00128739019205818,12551
"64","Medicareforall",0.00128718504662084,12549
"65","Usa",0.0012794920927204,12474
"66","Cancelcompartmentexam2020",0.0012735428750374,12416
"67","Mphw",0.00127313258416271,12412
"68","Stayathome",0.00126041356704732,12288
"69","Fhw",0.00125538750383237,12239
"70","Maga",0.00124759197721327,12163
"71","Start",0.00121774331607958,11872
"72","Savegujaratnre",0.00120943492586711,11791
"73","Excludeduk",0.00120728089877498,11770
"74","Doctorsday",0.001195690181565,11657
"75","Ccpvirus",0.00117886825570271,11493
"76","Blacklivesmatter",0.00113106936880134,11027
"77","Foxandfriends",0.0011256330147117,10974
"78","Chinavirus",0.00112358156033825,10954
"79","Kag",0.00111691433362454,10889
"80","Goyagives",0.00111476030653242,10868
"81","Uyghurs",0.00109681008076473,10693
"82","Postponekcet",0.00109516891726597,10677
"83","Kag2020",0.00109414319007925,10667
"84","Saynotougcguidelines",0.00108706567249085,10598
"85","Update",0.00107557752799953,10486
"86","Health",0.00106716656506839,10404
"87","Noexammhrd",0.0010644996743829,10378
"88","Master",0.0010615250655414,10349
"89","Youractionssavelives",0.00105270381173557,10263
"90","Morningjoe",0.00104336969433638,10172
"91","Tiktok",0.00104070280365089,10146
"92","Maskup",0.00103588188587329,10099
"93","Nomasks",0.0010313686862517,10055
"94","Odisha",0.00102962495003426,10038
"95","Joebiden",0.00102808635925418,10023
"96","Fox35",0.00102008568719772,9945
"97","Realitywinner",0.00101998311447905,9944
"98","Postponekcet2020",0.00101413646951472,9887
"99","Ugc",0.00100664866105163,9814
"100","Xinjiang",0.000997929979964471,9729
"101","Whitecoatsummit",0.000996699107340401,9717
"102","Scamdemic",0.000994852798404297,9699
"103","Pmqs",0.000992288480437485,9674
"104","Noexamugc",0.000982646644882273,9580
"105","Lisaforbrawlstars",0.000982031208570238,9574
"106","Beijing",0.000958644628712914,9346
"107","Studentslivesmatters",0.000958439483275569,9344
"108","Qanon",0.000949105365876375,9253
"109","Blm",0.000942540711881336,9189
"110","Cancel",0.000942232993725319,9186
"111","Giveaway",0.000940386684789215,9168
"112","Lisa",0.000930026840203295,9067
"113","Cpec",0.000926744513205776,9035
"114","Advancehbdpawankalyan",0.000924693058832327,9015
"115","Heroesact",0.000919051559305341,8960
"116","Sooraraipottru",0.000917615541243926,8946
"117","Southchinasea",0.000915871805026494,8929
"118","2800Gradepay",0.000907973705688714,8852
"119","Republicansvirus",0.000894741824979965,8723
"120","Training",0.000889305470890324,8670
"121","Borisjohnson",0.00088663858020484,8644
"122","Telangana",0.000878022471836352,8560
"123","Covidiots",0.000868483208999812,8467
"124","Donateplasmasavelives",0.000856584773633806,8351
"125","Killercuomo",0.000854738464697701,8333
"126","Gujarat",0.000852071574012217,8307
"127","Nhs",0.000851250992262837,8299
"128","Atmanirbharbharat",0.000848584101577353,8273
"129","Cnn",0.000848071237983991,8268
"130","Tibet",0.000838429402428778,8174
"131","Wayv",0.000831967321152413,8111
"132","Suriyabirthdayfestcdp",0.000827248976093479,8065
"133","Covidiot",0.000815863404320835,7954
"134","Sona2020",0.000809401323044469,7891
"135","Joining",0.000807452441389692,7872
"136","Viswasam",0.000800067205645274,7800
"137","New",0.00079616944233572,7762
"138","Aishwaryaraibachchan",0.000794015415243598,7741
"139","Bbnaija",0.000790733088246079,7709
"140","Barc",0.000782014407158919,7624
"141","Theri",0.000781501543565557,7619
"142","For",0.000778629507442728,7591
"143","Ohio",0.000756986663802836,7380
"144","Valimai",0.000755242927585404,7363
"145","Breakingnews",0.000754114627680007,7352
"146","Australia",0.000751652882431868,7328
"147","Bsnl",0.000745806237467537,7271
"148","Thalapathyvijay",0.000737600419973739,7191
"149","Facemask",0.000730625475104011,7123
"150","Gravitas",0.000723958248390301,7058
"151","Themoreyouknow",0.000720060485080747,7020
"152","Gestapotrump",0.000713700976523054,6958
"153","News",0.000710931513118897,6931
"154","Plasma",0.00070898263146412,6912
"155","Endthenightmare",0.00070816204971474,6904
"156","Wwg1wga",0.000706315740778636,6886
"157","Constitutionovercoronavirus",0.000700571668532977,6830
"158","Facemasks",0.000699956232220942,6824
"159","Remdesivir",0.000697597059691476,6801
"160","Onlinetraining",0.000694622450849974,6772
"161","Chinesevirus",0.000690519542103075,6732
"162","Hydroxyc",0.000683339451796002,6662
"163","Ppe",0.000678415961299724,6614
"164","Plandemic",0.000675338779739549,6584
"165","Xijinping",0.000674313052552825,6574
"166","Oneloveoneheart",0.00067410790711548,6572
"167","Israel",0.000673389898084772,6565
"168","Neetincovid",0.00067205645274203,6552
"169","America",0.00067164616186734,6548
"170","Covid19vic",0.000667543253120442,6508
"171","Andhrapradesh",0.000663645489810888,6470
"172","Standwithhongkong",0.00066333777165487,6467
"173","Hydroxycholoroquine",0.000663132626217525,6465
"174","Mentalhealth",0.000651849627163554,6355
"175","Oann",0.000642515509764359,6264
"176","Neetsept",0.000631642801585077,6158
"177","Ladakh",0.000631540228866404,6157
"178","Drfraudfauci",0.000630206783523662,6144
"179","Pune",0.000629488774492955,6137
"180","Obamagate",0.000627437320119505,6117
"181","Blackpink",0.000625796156620746,6101
"182","Ugcguidelines",0.000623847274965969,6082
"183","Takeresponsibility",0.000623231838653934,6076
"184","Hbdrealherosonusood",0.00062097523884314,6054
"185","Get",0.00061266684863067,5973
"186","Canada",0.000611128257850583,5958
"187","Kashmir",0.000609076803477133,5938
"188","Wuhan",0.000608666512602443,5934
"189","Theweekintory",0.000607025349103684,5918
"190","Huawei",0.000606409912791649,5912
"191","Quarantinelife",0.000606409912791649,5912
"192","Layonsdc3",0.000603743022106165,5886
"193","Shelterinplace",0.000601281276858025,5862
"194","Wesalutehealthheroes",0.000597280940829799,5823
"195","Coronavaccine",0.000597178368111127,5822
"196","Kcet",0.000596973222673782,5820
"197","Covid911",0.000596768077236437,5818
"198","Karnataka",0.00059522948645635,5803
"199","Brexit",0.0005931780320829,5783
"200","Longcovid",0.000591844586740158,5770
"201","Covidhoax",0.000589690559648036,5749
"202","Democrats",0.000588869977898656,5741
"203","Maheshbabubdaycdp",0.000587536532555914,5728
"204","Bihar",0.00058363876924636,5690
