"","hashtags","Freq","Count"
"1","China",0.0377595820613034,368125
"2","Cases",0.0177406697034346,172957
"3","Breaking",0.0131633621326756,128332
"4","Hongkong",0.0117396527975017,114452
"5","Hydroxychloroquine",0.00966809417119243,94256
"6","Lockdown",0.0077832178928671,75880
"7","Wearamask",0.00717362822579661,69937
"8","Https",0.00645264458624781,62908
"9","Ccp",0.00615426054762959,59999
"10","Trumpvirus",0.0055595439247666,54201
"11","India",0.0048996936255466,47768
"12","And",0.00455976763586603,44454
"13","Vaccine",0.00450407064962688,43911
"14","Sarscov2",0.00374605825863732,36521
"15","Trump",0.00371969706993849,36264
"16","Blood",0.00370718319826045,36142
"17","Deaths",0.00367210332847446,35800
"18","Stayhome",0.00347608686309137,33889
"19","Patients",0.00332704870286027,32436
"20","Indiafightscorona",0.00305912876168778,29824
"21","Hcq",0.00297265995984688,28981
"22","Florida",0.00291511666467163,28420
"23","Update",0.00289378153918775,28212
"24","Has",0.0028846525672259,28123
"25","Hongkongers",0.00280495356481739,27346
"26","Iran",0.00272484427153419,26565
"27","Safehands",0.00264904303243524,25826
"28","Socialdistancing",0.00246471985698081,24029
"29","Marr",0.00244605162218242,23847
"30","Test",0.00236614747433656,23068
"31","Staysafe",0.00226603650091223,22092
"32","Texas",0.00225444578370224,21979
"33","Positive",0.00220808291486228,21527
"34","Trump2020",0.00219854365202574,21434
"35","Chinese",0.00217443906313771,21199
"36","Testing",0.00210376645997238,20510
"37","Auspol",0.00209043200654496,20380
"38","Crisis",0.00204037651983279,19892
"39","Pakistan",0.0018585150896265,18119
"40","Masks",0.00185389931728624,18074
"41","Recovered",0.00179994606726452,17548
"42","Delhi",0.00174578767180546,17020
"43","Cdc",0.00165942144268324,16178
"44","Mtvhottest",0.00164506126206909,16038
"45","Arizona",0.00163593229010724,15949
"46","Houston",0.00162403385474123,15833
"47","Hydroxychloroquineworks",0.00159387747545153,15539
"48","Response",0.00157623496783986,15367
"49","Wayfair",0.0015686445866581,15293
"50","Who",0.00155756673304147,15185
"51","Mask",0.00155233552438918,15134
"52","Fauci",0.00153315442599742,14947
"53","Uyghur",0.00148925330240561,14519
"54","Truthwithrahulgandhi",0.0014755085581035,14385
