"","hashtags","Freq","Count"
"1","China",0.039287789230884,367124
"2","Breaking",0.0118644363448328,110867
"3","Lockdown",0.0101218034474039,94583
"4","Blacklivesmatter",0.0091851008097721,85830
"5","India",0.00880808682686604,82307
"6","Hongkong",0.00804860109405755,75210
"7","ー19",0.00700531147743786,65461
"8","Stayhome",0.00628659847454342,58745
"9","Ccp",0.0051407884504233,48038
"10","Pandemic",0.00468864991003781,43813
"11","Georgefloyd",0.00459212234472947,42911
"12","Trumpvirus",0.00404581056989682,37806
"13","Ebola",0.00372893903898997,34845
"14","Socialdistancing",0.00332741861211982,31093
"15","Indiafights",0.00327508825797816,30604
"16","Postponeneetandjee",0.00325636062612787,30429
"17","Pakistan",0.00302585023181063,28275
"18","Delhi",0.0029971702013199,28007
"19","Justiceforandresguardado",0.00287677828228234,26882
"20","Ladakh",0.00275381800230532,25733
"21","Watch",0.00263331906822862,24607
"22","Chinese",0.00252041820193117,23552
"23","Iran",0.00248949085561841,23263
"24","Cancelapexamspromotestudents",0.0023497292144957,21957
"25","Galwanvalley",0.00223993178433345,20931
"26","Stayathome",0.00215934945985764,20178
"27","Staysafe",0.00214832691082576,20075
"28","Beijing",0.0020969596920364,19595
"29","Sars2",0.00209642461684068,19590
"30","Blood",0.00204131187168126,19075
"31","Blm",0.00202247722479183,18899
"32","60minutes",0.00198470091597382,18546
"33","Wearamask",0.00197517657748996,18457
"34","Maga",0.00196340492318407,18347
"35","Indianarmy",0.00192038487744798,17945
"36","Junkterrorbill",0.00191685338115621,17912
"37","Canceltsexamspromotestudents",0.00189523634324903,17710
"38","Taiwan",0.00171823346850403,16056
"39","Tiktok",0.00169693747571427,15857
"40","Wuhans",0.00166675923467553,15575
"41","Innerengineeringonline",0.00163219337703185,15252
"42","Dispatches",0.00160982723385065,15043
"43","Boycottchineseproducts",0.00153962536817187,14387
"44","Globalgoalunite",0.0015195065408127,14199
"45","Howyoulikethat",0.00149125457047855,13935
"46","Mitchmcconnell",0.00147509529956773,13784
"47","Trumps",0.00147156380327597,13751
"48","Texas",0.00145882901361777,13632
"49","Junkterrorbillnow",0.00145444139701285,13591
"50","Fakenews",0.00142458420109153,13312
"51","Grandmananita",0.00142308599054351,13298
"52","Promote All College Students",0.00141720016339056,13243
"53","Florida",0.00140104089247974,13092
"54","Pakchina Friendship",0.00133126708695753,12440
"55","Hydroxychloroquine",0.00132666544027432,12397
"56","Tiananmensquaremassacre",0.00131564289124244,12294
"57","Pmqs",0.00130868691369804,12229
"58","Yulin",0.00130697467307173,12213
"59","Arizona",0.00129852048497932,12134
"60","Idiotdeblasio",0.00127915076289416,11953
"61","Breakingnews",0.00127315792070207,11897
"62","Nhs",0.00127080358984089,11875
"63","Chineses",0.00126374059725735,11809
"64","Modisurrenderstochina",0.00125871089041756,11762
"65","Trump2020",0.00124982864216857,11679
"66","Boycottchina",0.0012376289277061,11565
"67","Patanjali",0.00121986443120811,11399
"68","Isnotajoke",0.00120905591225452,11298
"69","Indiachinafaceoff",0.00118476349836872,11071
"70","Usa",0.0011811249870378,11037
"71","Uyghur",0.0011666779567533,10902
"72","Dogs",0.001165714821401,10893
"73","Master",0.00115137480615563,10759
"74","Removechinaapps",0.0011500906256859,10747
"75","Indian",0.00114944853545103,10741
"76","Gravitas",0.00114773629482472,10725
"77","Bluefall",0.00110856879049784,10359
"78","Boycottmadeinchina",0.00110396714381462,10316
"79","Mask",0.00109454982036991,10228
"80","Yemen",0.00109315862486103,10215
"81","Vaccine",0.00108042383520283,10096
"82","Takingaknee",0.00107603621859791,10055
"83","Urgent",0.00107560815844133,10051
"84","Weakpresident",0.00107518009828475,10047
"85","Unamerican",0.00107421696293245,10038
"86","Killercuomo",0.00106726098538806,9973
"87","Nationalsecuritylaw",0.00106608381995747,9962
"88","Kanganaranaut",0.00106126814319597,9917
"89","Trumprecession",0.00105976993264794,9903
"90","Hindicheenibyebye",0.00105784366194334,9885
"91","Qanon",0.00104938947385093,9806
"92","Telangana",0.00102969870664834,9622
"93","Hongkongers",0.00101889018769475,9521
"94","Brazil",0.00101343242069838,9470
"95","Oustduterte",0.00100155375135334,9359
"96","Auspol",0.00100048360096189,9349
"97","Galwan",0.00099823628513986,9328
"98","Releasecebu7",0.00099705911970927,9317
"99","Chennai",0.000994704788848091,9295
"100","Drc",0.000990531202321456,9256
"101","Punishthepartycops",0.000989461051930011,9246
"102","Update",0.000981541939033318,9172
"103","Healthoverexams",0.00095040056264227,8881
"104","Blacklivesmattter",0.000946762051311357,8847
"105","Giveaway",0.000938200848179797,8767
"106","Mannkibaat",0.000927713374343637,8669
"107","Who",0.000927178299147914,8664
"108","Postponeneet",0.000923860832934435,8633
"109","Brexit",0.00091754694562491,8574
"110","Australia",0.000908878727454205,8493
"111","Cancelugexamsap",0.000904598125888425,8453
"112","Nepal",0.000898070208500611,8392
"113","Kungflu",0.000893254531739109,8347
"114","Wuhan",0.000885014373724983,8270
"115","Supdates",0.000875597050280267,8182
"116","Worldenonmentday",0.000867035847148707,8102
"117","Spandemic",0.000865858681718118,8091
"118","Theweekintory",0.000863183305739505,8066
"119","Mentalhealth",0.000846702989711253,7912
"120","Republicanss",0.000843492538536918,7882
"121","Mumbai",0.000824122816451764,7701
"122","Noexamsin",0.00082187550062973,7680
"123","Foxandfriends",0.000815989673476783,7625
"124","Kashmir",0.000811388026793569,7582
"125","Quarantinelife",0.000809889816245546,7568
"126","Tcot",0.000807749515462656,7548
"127","Cdnpoli",0.000805716229718911,7529
"128","News",0.000803575928936021,7509
"129","Pmcares",0.000798225176978796,7459
"130","Russia",0.000794693680687028,7426
"131","Postponetn10thexam",0.00078998501896467,7382
"132","Medtwitter",0.000788379793377503,7367
"133","Studentlivesmatter",0.000784313221890012,7329
"134","Standwithhongkong",0.0007826009812637,7313
"135","Yulindogmeatfestival",0.000781637845911399,7304
"136","Pla",0.000778855454893643,7278
"137","Beijingbiden",0.000778106349619631,7271
"138","Ccps",0.00077618007891503,7253
"139","Borisjohnson",0.000769438131448927,7190
"140","Ccpchina",0.000763338274217691,7133
"141","Antifa",0.000763017229100257,7130
"142","Kag2020",0.0007592717027302,7095
"143","Exposebillgates",0.000746750943150294,6978
"144","Pride",0.000743433476936814,6947
"145","Donateplasma Savelives",0.000739366905449323,6909
"146","Postponejee",0.000738510785136168,6901
"147","Musicbank",0.000736370484353278,6881
