"","hashtags","Freq","Count"
"1","Virus",0.771312861916523,3864913
"2","China",0.0297833250579146,149239
"3","Chinesevirus",0.0258931465164213,129746
"4","Lockdown",0.0257877746254907,129218
"5","ー19",0.0200382212586193,100408
"6","Breaking",0.0177348076883163,88866
"7","Italy",0.0151929103875929,76129
"8","Indiafights",0.0142238082997926,71273
"9","Socialdistancing",0.013490196422784,67597
"10","Stayathome",0.0131150086293193,65717
"11","Wuhan",0.0127334346606466,63805
"12","Stayhome",0.0127025016244833,63650
"13","India",0.00990056725201284,49610
"14","Iran",0.00928529918432577,46527
"15","Trump",0.00924259163762287,46313
"16","Update",0.0083371517339264,41776
"17","Taiwan",0.00812022134483271,40689
"18","Viruspandemic",0.0079789272183577,39981
"19","Stayhomesavelives",0.00794021103115975,39787
"20","Virusoutbreak",0.00780490394394215,39109
"21","Usnsmercy",0.00717227346240858,35939
"22","Vir",0.00711659399731461,35660
"23","Nyc",0.00688788909768134,34514
"24","2019",0.00668452933090446,33495
"25","Nigeria",0.00623570095457354,31246
"26","Pandemic",0.00598624098551456,29996
"27","Prabhas",0.00597047511547003,29917
"28","Watch",0.00590920774706914,29610
"29","Ccpvirus",0.00575833435778227,28854
"30","Viru",0.00557293570877764,27925
"31","Jantacurfew",0.00545938153086199,27356
"32","Nhs",0.00522149650436735,26164
"33","Kanikakapoor",0.00500336870742217,25071
"34","Janatacurfew",0.00479841239684331,24044
"35","Ccp",0.00459165997448723,23008
"36","Virusupdate",0.00447171962136367,22407
"37","Usa",0.00443020948251226,22199
"38","Flattenthecurve",0.00420848946201263,21088
"39","Sars2",0.00404444458635945,20266
"40","Usnscomfort",0.00399794524812686,20033
"41","Spain",0.00392490336918639,19667
"42","Crisis",0.00390794009129037,19582
"43","Quarantine",0.0038636360007855,19360
"44","Pmcaresfund",0.00369200754207292,18500
"45","Chloroquine",0.0035696723732464,17887
"46","Telangana",0.00350142012571186,17545
"47","Pakistan",0.00343217003830109,17198
"48","Wuhanvirus",0.00339225644325165,16998
"49","Staysafe",0.00314459258596989,15757
"50","Turkey",0.00310248374319274,15546
"51","Ppe",0.00302165871321763,15141
"52","Andhrapradesh",0.00299930709998994,15029
"53","Kerala",0.00299671271631173,15016
"54","Washyourhands",0.00295580128138606,14811
"55","Usnavy",0.00290890280720297,14576
"56","Usnavyalwaysthere",0.00284823414272782,14272
"57","Viruslockdown",0.00269436723381224,13501
"58","Chinavirus",0.0025804139199461,12930
"59","Stayhomestaysafe",0.00252992322220856,12677
"60","Iots",0.00252952408625807,12675
"61","Chinese",0.00252094266332244,12632
"62","Who",0.00250956728873335,12575
"63","Outbreak",0.00235210815626332,11786
"64","Chinesevirus19",0.00219943865519922,11021
"65","Hydroxychloroquine",0.00219025852833785,10975
"66","Pmcares",0.00218407192110519,10944
"67","Florida",0.00215653154052108,10806
"68","Healthworkers",0.002108834794437,10567
"69","Popefrancis",0.00209785855579841,10512
"70","Virusuk",0.00208588447728358,10452
"71","Fakenews",0.00204177995475395,10231
"72","The",0.00204018341095197,10223
"73","Stayathomeandstaysafe",0.00203958470702623,10220
"74","Crisischarity",0.0020381877311995,10213
"75","Filmyourhospital",0.00203040458016486,10174
"76","Fight",0.00200964951073915,10070
"77","Thankatrucker",0.00200466031135797,10045
"78","Virusindia",0.0019421955351056,9732
"79","Caresact",0.00191864651402644,9614
"80","Russia",0.00190607373158586,9551
"81","Stayhom",0.00190347934790765,9538
"82","Stayathomesavelives",0.00188312341443244,9436
"83","Canada",0.00187434242352156,9392
"84","Medtwitter",0.00183462839644737,9193
"85","Cuba",0.00180968239954147,9068
"86","Yemen",0.00180648931193752,9052
"87","Hantavirus",0.00180589060801178,9049
"88","Stopthespread",0.00176477960511086,8843
"89","Thelockdown",0.00175659731812572,8802
"90","Nancypelosi",0.00174981200696732,8768
"91","Iot",0.00172247119435845,8631
"92","Italia",0.00172007637865549,8619
"93","Physicaldistancing",0.00171309149952184,8584
"94","Hongkong",0.00168475284703673,8442
"95","Malaysia",0.00167696969600209,8403
"96","Modiji",0.00166539475343776,8345
"97","Saudiarabia",0.00166539475343776,8345
"98","Cdc",0.00164863104351699,8261
"99","Lockdown21",0.00163585869310117,8197
"100","21Dayslockdown",0.00160652220073984,8050
"101","France",0.00156760644556664,7855
"102","Mentalhealth",0.00156561076581417,7845
"103","Animalcrossingnew",0.00155623107097755,7798
"104","Chinaliedpeopledied",0.00152849112241819,7659
"105","Stayathomechallenge",0.00152270365113602,7630
"106","Safehands",0.00150633907716575,7548
"107","Health",0.00150334555753704,7533
"108","Healthcare",0.00145624751537871,7297
"109","Cdnpoli",0.00144866393231932,7259
"110","Fefsi",0.0014460695486411,7246
"111","Newyork",0.00144068121330943,7219
"112","Live",0.00144008250938369,7216
"113","Auspol",0.00143529287797775,7192
"114","Jammuandkashmir",0.00141513651247779,7091
"115","Quarantinelife",0.001382207796562,6926
"116","Ccc",0.00137841600503231,6907
"117","Qanon",0.00137661989325508,6898
"118","Democrats",0.00137462421350261,6888
"119","Lockdownnow",0.00137262853375014,6878
"120","Syria",0.00136504495069074,6840
"121","21Daylockdown",0.00135007735254721,6765
"122","Germany",0.00134927908064622,6761
"123","Africa",0.00134748296886899,6752
"124","Rajasthan",0.00132872357919576,6658
"125","Out",0.00132792530729477,6654
"126","Lagos",0.00131794690853241,6604
"127","Stimuluspackage",0.00131754777258191,6602
"128","Virussa",0.00131415511700271,6585
"129","Australia",0.00130697066989381,6549
"130","Virusoutbreakindia",0.00128242380893841,6426
"131","Borisjohnson",0.00127005059447308,6364
"132","Maga",0.00126665793889388,6347
"133","Handhygiene",0.00125628040418103,6295
"134","New",0.00125628040418103,6295
"135","Srilanka",0.0012514907727751,6271
"136","Kashmir",0.00124710027731966,6249
"137","Bts",0.00122754261574543,6151
"138","Israel",0.00122255341636425,6126
"139","Handwashchallenge",0.00121916076078505,6109
"140","Virusupdates",0.00120738625024547,6050
"141","Southkorea",0.00119361605995341,5981
"142","Personalprotectiveequipment",0.00117984586966136,5912
"143","Gaza",0.00116427956759208,5834
"144","Idiots",0.00115689555250793,5797
"145","Nstnation",0.00114891283349804,5757
"146","Ireland",0.00114512104196835,5738
"147","Acnh",0.00114252665829013,5725
"148","Maskup",0.00114033141056241,5714
"149","Breakingnews",0.00112855690002283,5655
"150","Slowthespread",0.00112097331696344,5617
"151","Workfromhome",0.00110800139857237,5552
"152","Russianpresident",0.00110660442274564,5545
"153","Trumpmeltdown",0.0010950294801813,5487
"154","Ventilators",0.00107068218720115,5365
"155","Socialdistanacing",0.0010704826192259,5364
"156","Icymi",0.00106609212377046,5342
"157","Thailand",0.00105751070083483,5299
"158","Ohio",0.00105012668575069,5262
"159","Odisha",0.00103715476735962,5197
"160","Staysafestayhome",0.00101779667376064,5100
"161","Nizamuddin",0.000996442900409194,4993
"162","Shelterinplace",0.000984867957844857,4935
"163","Indi",0.000980876598339914,4915
"164","Staysafenigeria",0.000965110728295386,4836
"165","Yournhsneedsyou",0.000960520664864701,4813
"166","Virustruth",0.000959323257013218,4807
"167","Modi",0.000958524985112229,4803
"168","Chinaliedandpeopledied",0.000950143130151847,4761
"169","G20",0.000947947882424128,4750
"170","Selfisolation",0.000945553066721162,4738
"171","Lka",0.000932581148330095,4673
"172","Vaccine",0.000931184172503365,4666
"173","Facebook",0.000926394541097432,4642
"174","Isolation",0.000922403181592489,4622
"175","Based",0.000918212254112298,4601
"176","Exclusive",0.00091661571031032,4593
"177","Breakthechain",0.000897856320637085,4499
"178","Donaldtrump",0.000897856320637085,4499
"179","Southafrica",0.000896858480760849,4494
"180","Boycotttrumppressconferences",0.000896259776835107,4491
"181","Togetherapart",0.000883886562369782,4429
"182","Luzonlockdown",0.000882888722493546,4424
"183","Staysafesavel",0.000863331060919322,4326
"184","Uae",0.00086133538116685,4316
"185","Ourpresidentbernie",0.000853153094181715,4275
"186","Jellyfish",0.000839582471864907,4207
"187","Rggh",0.00083938290388966,4206
"188","Doctors",0.000838385064013424,4201
"189","Nationaldoctorsday",0.000833395864632244,4176
"190","N95",0.000831001048929278,4164
"191","Stpiindia",0.000831001048929278,4164
"192","Pelosi",0.0008294045051273,4156
"193","Losangeleslockdown",0.000816632154711481,4092
"194","Trumpvirus",0.000816233018760986,4090
"195","Openwho",0.000811642955330301,4067
"196","News",0.000809846843553076,4058
"197","Virususa",0.000809447707602582,4056
"198","Tamilnadu",0.000808050731775852,4049
"199","Nationalguard",0.000807651595825357,4047
"200","Shaheenbagh",0.00080745202785011,4046
"201","Chinesewuhanvirus",0.000801664556567942,4017
"202","Singapore",0.000800068012765964,4009
"203","America",0.000799868444790717,4008
"204","Brexit",0.000794280541483796,3980
"205","Nurses",0.000779712079290751,3907
"206","Quran",0.000772527632181853,3871
"207","Cybersecurity",0.000769534112553145,3856
"208","California",0.000769134976602651,3854
"209","Quaratinelife",0.000767338864825426,3845
"210","Updates",0.000762549233419493,3821
"211","Pompeoresign",0.000760353985691774,3810
"212","Handwashing",0.000751572994780898,3766
"213","Xijinping",0.000749377747053179,3755
"214","Worldwaterday",0.000746783363374966,3742
"215","Lockdownradio",0.00074578552349873,3737
"216","Ghana",0.000743789843746258,3727
"217","Navyreadiness",0.000739199780315573,3704
"218","Navycapability",0.000739000212340326,3703
"219","Bernie",0.000735607556761124,3686
"220","Uklockdown",0.000732614037132416,3671
"221","Pakistanday",0.000731217061305686,3664
"222","Msm",0.000728223541676978,3649
"223","Japan",0.000727026133825495,3643
"224","Flu",0.000724431750147281,3630
"225","Plankthecurve",0.00072383304622154,3627
"226","Ventilator",0.00072383304622154,3627
"227","Climatechange",0.000722436070394809,3620
"228","Takeresponsibility",0.000721039094568079,3613
"229","Animalcrossing",0.000718444710889866,3600
"230","Uganda",0.000712856807582944,3572
"231","Venezuela",0.000712258103657203,3569
"232","Khameneivirus",0.000711260263780967,3564
"233","Ontario",0.000707867608201765,3547
"234","Gujarat",0.000707268904276023,3544
"235","Feverdetectioncamera",0.000707069336300776,3543
"236","Dogs",0.000702279704894844,3519
"237","Science",0.000702080136919596,3518
"238","Sindh",0.000697889209439406,3497
"239","Betfair",0.000694895689810698,3482
"240","Tigerking",0.000694696121835451,3481
"241","Dems",0.000687910810677046,3447
"242","Juniordoctors",0.000686114698899822,3438
"243","Texas",0.000682322907370125,3419
"244","Akshaykumar",0.000681125499518642,3413
"245","Foxnews",0.000681125499518642,3413
"246","Maharashtra",0.000676735004063204,3391
"247","Today",0.000663763085672137,3326
"248","Healthcareheroes",0.000662366109845407,3319
"249","Rwanda",0.00065717734248898,3293
"250","Jungkook",0.000656778206538486,3291
"251","Usarmy",0.000649593759429587,3255
"252","London",0.000648396351578104,3249
"253","Trumppressconf",0.000647797647652362,3246
"254","Stayhomesa",0.000646201103850385,3238
"255","Ishayogacenter",0.000645003695998902,3232
"256","Randpaul",0.000643806288147418,3226
"257","Europe",0.000642808448271183,3221
"258","Lockdownsa",0.000641810608394947,3216
"259","Masks",0.000641411472444452,3214
"260","Putin",0.000641012336493958,3212
"261","Togetherathome",0.000639814928642475,3206
"262","Urbietorbi",0.000635823569137531,3186
"263","Hubei",0.000633628321409812,3175
"264","Tablighijamat",0.000632430913558329,3169
"265","Indiafightsvirus",0.000629836529880116,3156
"266","Govcuomo",0.000626044738350419,3137
"267","Virusinnigeria",0.000625446034424678,3134
"268","Master",0.000624248626573194,3128
"269","Keywork",0.000622252946820723,3118
"270","Pmcaresfunds",0.000619858131117756,3106
"271","Trump2020",0.000611675844132622,3065
"272","Cnn",0.000610877572231633,3061
"273","Virusinsa",0.000600899173469274,3011
"274","Viruschallenge",0.000597306949914824,2993
"275","Hospitals",0.000584534599499005,2929
"276","Publichealth",0.000580144104043567,2907
"277","Karachi",0.000577948856315847,2896
"278","Drfauci",0.000574157064786151,2877
"279","Wheresdrfauci",0.000572560520984174,2869
"280","Foxandfriends",0.000572360953008926,2868
"281","Qproof",0.000571762249083185,2865
"282","Salmankhan",0.00057136311313269,2863
"283","Fightagainst",0.000570564841231702,2859
"284","Stay",0.000566773049702005,2840
"285","Wwg1wga",0.000564777369949533,2830
"286","Delhi",0.000561983418296073,2816
"287","Iranian",0.000561384714370331,2813
"288","Puertorico",0.000560985578419837,2811
"289","Lockdownsouthafrica",0.000560386874494095,2808
"290","Chennai",0.000559987738543601,2806
"291","Airpeace",0.000553002859409949,2771
"292","Socialdistance",0.000552803291434702,2770
"293","Assange",0.000548412795979264,2748
"294","Karnataka",0.000546417116226792,2738
"295","Mco",0.000543224028622837,2722
"296","Factsnotfear",0.00054162748482086,2714
"297","Inpakistan",0.000539831373043635,2705
"298","Egypt",0.00053803526126641,2696
"299","Kag",0.000534243469736714,2677
"300","Selfisolating",0.000533445197835725,2673
"301","Boris",0.000525662046801085,2634
"302","Michigan",0.000525262910850591,2632
"303","Malaysialockdown",0.000524065502999108,2626
"304","Amp",0.000523666367048613,2624
"305","Testing",0.000518078463741692,2596
"306","Earthhour",0.000517679327791198,2594
"307","Thankyou",0.000517280191840703,2592
"308","Iraq",0.000515883216013973,2585
"309","Tuesdaythoughts",0.000515284512088231,2582
"310","Tn Together Against ",0.000513687968286254,2574
"311","Russian",0.000513488400311007,2573
"312","Pune",0.000510095744731805,2556
"313","Onpoli",0.000506503521177355,2538
"314","Philippines",0.000505106545350625,2531
"315","Toronto",0.000504308273449636,2527
"316","Awaninews",0.000503909137499142,2525
"317","Staya",0.000503909137499142,2525
"318","Presidenttrump",0.000503510001548647,2523
"319","Indianarmy",0.000503110865598153,2521
"320","Villains",0.000501115185845681,2511
"321","Insidertrading",0.000499917777994198,2505
"322","Fakenewsmedia",0.000499319074068457,2502
"323","Cancer",0.000497922098241726,2495
"324","Sivakumar",0.00049692425836549,2490
"325","Kenya",0.000496325554439749,2487
"326","Hydroxycloroquine",0.00049552728253876,2483
"327","Boycottchina",0.000494729010637771,2479
"328","Ccpchina",0.000491735491009064,2464
"329","Seattle",0.00048774413150412,2444
"330","Medicareforall",0.000486746291627884,2439
"331","Aus",0.00048634715567739,2437
"332","Readytoservethenation",0.000485548883776401,2433
