"","hashtags","Freq","Count"
"1","China",0.0297783358585334,149214
"2","Chinesevirus",0.0250942759115068,125743
"3","Breaking",0.0177481787426579,88933
"4","Italy",0.0150432344061575,75379
"5","Lockdown",0.0140348174272335,70326
"6","Socialdistancing",0.013490196422784,67597
"7","Indiafightscorona",0.0134341178217395,67316
"8","Stayathome",0.0131150086293193,65717
"9","Stayhome",0.0127048964401863,63662
"10","Wuhan",0.0122456905291425,61361
"11","Coronalockdown",0.011696279893287,58608
"12","Iran",0.00926873504238026,46444
"13","Trump",0.00923600589443972,46280
"14","Taiwan",0.00812022134483271,40689
"15","Stayhomesavelives",0.00794021103115975,39787
"16","India",0.00735906908723994,36875
"17","Pandemic",0.00729979739859153,36578
"18","Usnsmercy",0.00717227346240858,35939
"19","Nyc",0.006840791055523,34278
"20","Prabhas",0.00597047511547003,29917
"21","Watch",0.00587847427888108,29456
"22","Ccpvirus",0.00575194818257436,28822
"23","Jantacurfew",0.00545938153086199,27356
"24","Nhs",0.00522249434424358,26169
"25","Kanikakapoor",0.00500336870742217,25071
"26","Janatacurfew",0.00479841239684331,24044
"27","Ccp",0.00468286253917519,23465
"28","Flattenthecurve",0.00420848946201263,21088
"29","Sarscov2",0.00402887828429017,20188
"30","Usnscomfort",0.00399794524812686,20033
"31","Spain",0.00391851719397848,19635
"32","Covid",0.00384427790718652,19263
"33","Quarantine",0.00384168352350831,19250
"34","Usa",0.00374668916729065,18774
"35","Pmcaresfund",0.00369200754207292,18500
"36","Chloroquine",0.00356987194122164,17888
"37","Telangana",0.00350122055773661,17544
"38","Pakistan",0.00329905819881121,16531
"39","Update",0.00315556882460849,15812
"40","Staysafe",0.00314479215394514,15758
"41","Turkey",0.0031048785588957,15558
"42","Ppe",0.00302245698511862,15145
"43","Andhrapradesh",0.00299930709998994,15029
"44","Washyourhands",0.00295580128138606,14811
"45","Kerala",0.00291888120596533,14626
"46","Usnavy",0.00290890280720297,14576
"47","Nigeria",0.00287657279521292,14414
"48","Usnavyalwaysthere",0.00284823414272782,14272
"49","Stayhomestaysafe",0.00252992322220856,12677
"50","Covidiots",0.00252912495030757,12673
"51","Who",0.00251854784761947,12620
"52","Wuhanvirus",0.00250338068150069,12544
"53","Chinese",0.00250318111352544,12543
"54","Chinavirus",0.00243133664243645,12183
"55","Chinesevirus19",0.00219923908722398,11020
"56","Hydroxychloroquine",0.0021904580963131,10976
"57","Pmcares",0.00218407192110519,10944
"58","Florida",0.00215254018101614,10786
"59","The",0.00212939029588746,10670
"60","Healthworkers",0.002108834794437,10567
"61","Popefrancis",0.00209785855579841,10512
"62","Coronavirusuk",0.00206832249546182,10364
"63","Stayathomeandstaysafe",0.00203958470702623,10220
"64","Fakenews",0.00203938513905098,10219
"65","Coronacrisischarity",0.0020381877311995,10213
"66","Filmyourhospital",0.00203040458016486,10174
"67","Thankatrucker",0.00200466031135797,10045
"68","Coronavirusindia",0.00194019985535313,9722
"69","Caresact",0.00191864651402644,9614
"70","Russia",0.00190427761980864,9542
"71","Stayhom",0.00190347934790765,9538
"72","Stayathomesavelives",0.00188312341443244,9436
"73","Medtwitter",0.00183462839644737,9193
"74","Cuba",0.00180928326359098,9066
"75","Yemen",0.00180648931193752,9052
"76","Hantavirus",0.00180589060801178,9049
"77","Stopthespread",0.0017615865175069,8827
"78","Thelockdown",0.00175659731812572,8802
"79","Nancypelosi",0.00174981200696732,8768
"80","Physicaldistancing",0.00171309149952184,8584
"81","Hongkong",0.00168475284703673,8442
"82","Modiji",0.00166798913711597,8358
"83","Saudiarabia",0.00166539475343776,8345
"84","Cdc",0.00164863104351699,8261
"85","Lockdown21",0.00163585869310117,8197
"86","21Dayslockdown",0.00160652220073984,8050
"87","Mentalhealth",0.00156421378998744,7838
"88","Animalcrossingnew",0.00155623107097755,7798
"89","Health",0.00155363668729933,7785
"90","France",0.0015416626087845,7725
"91","Chinaliedpeopledied",0.00152849112241819,7659
"92","Stayathomechallenge",0.00152270365113602,7630
"93","Safehands",0.00150633907716575,7548
"94","Healthcare",0.00145644708335396,7298
"95","Cdnpoli",0.00144866393231932,7259
"96","Fefsi",0.0014460695486411,7246
"97","Covid19uk",0.00143788726165597,7205
"98","Newyork",0.00143768769368072,7204
"99","Live",0.0014358915819035,7195
"100","Auspol",0.00143509331000251,7191
"101","Jammuandkashmir",0.00141513651247779,7091
"102","Quarantinelife",0.001382207796562,6926
"103","Ccc",0.00137841600503231,6907
"104","Qanon",0.00137661989325508,6898
"105","Democrats",0.00137462421350261,6888
"106","Lockdownnow",0.00137262853375014,6878
"107","Covid19italia",0.0013716306938739,6873
"108","Syria",0.00136624235854223,6846
"109","21Daylockdown",0.00135007735254721,6765
"110","Germany",0.00133451105047793,6687
"111","Rajasthan",0.00132972141907199,6663
"112","Covidiot",0.00131994258828488,6614
"113","Stimuluspackage",0.00131754777258191,6602
"114","Coronavirussa",0.00131375598105222,6583
"115","Covid19india",0.00130617239799283,6545
"116","Covid19out",0.00130158233456214,6522
"117","Coronavirusoutbreakindia",0.00128242380893841,6426
"118","Borisjohnson",0.00126845405067111,6356
"119","Maga",0.00126645837091864,6346
"120","New",0.00125987262773548,6313
"121","Handhygiene",0.00125628040418103,6295
