"","hashtags","Freq","Count"
"1","Https",0.045173608173027,226357
"2","Cases",0.0318089400066736,159389
"3","China",0.029756982085182,149107
"4","Chinesevirus",0.0250934776396058,125739
"5","Breaking",0.0177403955916233,88894
"6","And",0.0166040555405658,83200
"7","Have",0.0161017429468686,80683
"8","Lockdown",0.0157788419629187,79065
"9","Italy",0.0153178399400977,76755
"10","Socialdistancing",0.013490196422784,67597
"11","Indiafightscorona",0.0134341178217395,67316
"12","Crisis",0.0131219935084529,65752
"13","Stayathome",0.0131150086293193,65717
"14","Patients",0.0130160229135966,65221
"15","Stayhome",0.0127027011924586,63651
"16","Wuhan",0.0122462892330683,61364
"17","Testing",0.0114609892504706,57429
"18","Outbreak",0.0107501281226401,53867
"19","Response",0.0103186621601557,51705
"20","Trump",0.00927252683390995,46463
"21","Iran",0.00926594109072679,46430
"22","Aka",0.0087478626269851,43834
"23","Taiwan",0.0081206204807832,40691
"24","Stayhomesavelives",0.00794021103115975,39787
"25","Update",0.00791526503425385,39662
"26","Unless",0.00783284346047676,39249
"27","India",0.00737164186968052,36938
"28","Usnsmercy",0.00717227346240858,35939
"29","Nyc",0.00689806706441895,34565
"30","Relief",0.00685456124581506,34347
"31","Has",0.00632051734405359,31671
"32","Prabhas",0.00597047511547003,29917
"33","Watch",0.0059056155235147,29592
"34","Ccpvirus",0.00574775725509417,28801
"35","Positive",0.00550887438872329,27604
"36","Jantacurfew",0.00545938153086199,27356
"37","Nhs",0.00522169607234259,26165
"38","Test",0.00509417213615964,25526
"39","Case",0.00504527798222408,25281
"40","Kanikakapoor",0.00500336870742217,25071
"41","Janatacurfew",0.00479841239684331,24044
"42","Quarantine",0.00475331003443745,23818
"43","Tests",0.00473973941212064,23750
"44","Ccp",0.00459126083853674,23006
"45","Isolation",0.00450245308955174,22561
"46","Flattenthecurve",0.00420848946201263,21088
"47","With",0.00416218969175529,20856
"48","Sarscov2",0.00402927742024066,20190
"49","Usnscomfort",0.00399794524812686,20033
"50","Spain",0.00395483856547346,19817
"51","Usa",0.00374788657514213,18780
"52","Pmcaresfund",0.00369200754207292,18500
"53","Deaths",0.00361377689577602,18108
"54","Chloroquine",0.00358004990795925,17939
"55","Telangana",0.00350122055773661,17544
"56","Coronacrisis",0.00349323783872672,17504
"57","Death",0.00339145817135066,16994
"58","Pakistan",0.00329606467918251,16516
"59","Patient",0.00314918264940058,15780
"60","Staysafe",0.00314519128989563,15760
"61","But",0.00310966819030164,15582
"62","Turkey",0.00309410188823235,15504
"63","Ppe",0.00305718181281163,15319
"64","Situation",0.00303483019958394,15207
"65","Today",0.00303143754400474,15190
"66","Andhrapradesh",0.00299930709998994,15029
"67","Washyourhands",0.00295580128138606,14811
"68","Kerala",0.00291967947786632,14630
"69","Usnavy",0.00290890280720297,14576
"70","Nigeria",0.00289034298550498,14483
"71","Usnavyalwaysthere",0.00284823414272782,14272
"72","Rj5busgkv7",0.00275942639374283,13827
"73","Africa",0.00272909206150525,13675
"74","Who",0.00270015470509441,13530
"75","Was",0.00269736075344095,13516
"76","News",0.00269476636976274,13503
"77","Epidemic",0.00262411930652523,13149
"78","Stayhomestaysafe",0.00252992322220856,12677
"79","Covidiots",0.00252912495030757,12673
"80","Wuhanvirus",0.00250338068150069,12544
"81","Chinese",0.00249899018604525,12522
"82","Health",0.00244510683272851,12252
"83","Chinavirus",0.00243173577838695,12185
"84","Will",0.00236887186618408,11870
"85","Related",0.00234113191762473,11731
"86","Hydroxychloroquine",0.00233734012609503,11712
"87","Bill",0.0023355440143178,11703
"88","Symptoms",0.00229203819571392,11485
"89","Fight",0.00220762094218436,11062
"90","Chinesevirus19",0.00219923908722398,11020
"91","Pmcares",0.00218407192110519,10944
"92","Florida",0.00216411512358047,10844
"93","From",0.00212060930497659,10626
"94","Healthworkers",0.00211023177026373,10574
"95","Popefrancis",0.00209785855579841,10512
"96","Are",0.00209546374009544,10500
"97","Covid ",0.00208129441385289,10429
"98","Coronavirusuk",0.00206832249546182,10364
"99","Stayathomeandstaysafe",0.00203958470702623,10220
"100","Fakenews",0.00203938513905098,10219
"101","Coronacrisischarity",0.0020381877311995,10213
"102","Filmyourhospital",0.00203040458016486,10174
"103","Confirmed",0.0020276106285114,10160
"104","Thankatrucker",0.00200466031135797,10045
"105","Coronavirusindia",0.00194019985535313,9722
"106","Russia",0.00191964435390267,9619
"107","Caresact",0.00191864651402644,9614
"108","Stayhom",0.00190347934790765,9538
"109","Stayathomesavelives",0.00188312341443244,9436
"110","Can",0.00187953119087799,9418
"111","Vaccine",0.00185977396132852,9319
"112","This",0.00184041586772954,9222
"113","Known",0.00183842018797707,9212
"114","Medtwitter",0.00183462839644737,9193
"115","Cuba",0.00181267591917018,9083
"116","Yemen",0.00180648931193752,9052
"117","Hantavirus",0.00180589060801178,9049
"118","Stopthespread",0.0017615865175069,8827
"119","Together",0.0017577947259772,8808
"120","Thelockdown",0.00175659731812572,8802
"121","Nancypelosi",0.00174981200696732,8768
"122","Physicaldistancing",0.00171309149952184,8584
"123","Infection",0.00170271396480898,8532
"124","Hongkong",0.00168475284703673,8442
"125","Emergency",0.00168155975943278,8426
"126","Modiji",0.00166539475343776,8345
"127","Saudiarabia",0.00166539475343776,8345
"128","For",0.00166459648153677,8341
"129","Cdc",0.00166020598608133,8319
"130","Live",0.00164603665983878,8248
"131","Lockdown21",0.00163585869310117,8197
"132","21Dayslockdown",0.00160652220073984,8050
"133","Mentalhealth",0.00156421378998744,7838
"134","Animalcrossingnew",0.00155623107097755,7798
"135","France",0.00154305958461123,7732
"136","Chinaliedpeopledied",0.00152849112241819,7659
"137","Healthcare",0.00152589673873998,7646
"138","Stayathomechallenge",0.00152270365113602,7630
"139","Safehands",0.00150633907716575,7548
"140","Refused",0.00147680301682917,7400
"141","Lagos",0.00145225615587376,7277
"142","Cdnpoli",0.00144866393231932,7259
"143","Fefsi",0.0014460695486411,7246
"144","Get",0.00144327559698764,7232
"145","Covid19uk",0.00143788726165597,7205
"146","Newyork",0.00143748812570547,7203
"147","Auspol",0.00143509331000251,7191
"148","Jammuandkashmir",0.00141513651247779,7091
"149","Hospital",0.00141493694450254,7090
"150","Spread",0.00138759613189368,6953
"151","Quarantinelife",0.00138240736453725,6927
"152","Qanon",0.00137661989325508,6898
"153","Democrats",0.00137602118932934,6895
"154","New",0.0013750233494531,6890
"155","Lockdownnow",0.00137262853375014,6878
"156","Covid19italia",0.0013716306938739,6873
"157","Syria",0.00136464581474025,6838
"158","21Daylockdown",0.00135007735254721,6765
"159","Germany",0.00133630716225515,6696
"160","Rajasthan",0.00132912271514625,6660
"161","Because",0.00132253697196309,6627
"162","Covidiot",0.00131994258828488,6614
"163","Data",0.00131854561245815,6607
"164","Stimuluspackage",0.00131754777258191,6602
"165","Coronavirussa",0.00131375598105222,6583
"166","Malaysia",0.00131295770915123,6579
"167","Covid19india",0.00130617239799283,6545
"168","Coronavirusoutbreakindia",0.00128242380893841,6426
"169","Borisjohnson",0.00126845405067111,6356
"170","Maga",0.00126765577877012,6352
"171","Handhygiene",0.00125628040418103,6295
"172","Srilanka",0.00125129120479985,6270
"173","Stimulus",0.00123093527132464,6168
"174","Bts",0.00122754261574543,6151
"175","Israel",0.00122574650396821,6142
