"","hashtags","Freq","Count"
"1","Virus",0.199709299538826,1208284
"2","China",0.0215104788028985,130143
"3","Lockdown",0.0158020856782917,95606
"4","Breaking",0.0113840601340713,68876
"5","ー19",0.0103788064356071,62794
"6","Hongkong",0.00949156509174717,57426
"7","Stayhome",0.0072567681077066,43905
"8","Trump",0.00655877626807911,39682
"9","India",0.00650307575897315,39345
"10","Iran",0.00522510443432249,31613
"11","Pandemic",0.00504891231946506,30547
"12","Indiafights",0.00495916342793825,30004
"13","Hydroxychloroquine",0.00454331036885637,27488
"14","Sars2",0.00387044160752,23417
"15","Taiwan",0.00374466093265461,22656
"16","Ccp",0.0035902862278921,21722
"17","Fakenews",0.00348863693085897,21107
"18","Stayathome",0.00331227953259174,20040
"19","Stayalert",0.00317360675176118,19201
"20","Socialdistancing",0.00301724864608095,18255
"21","Who",0.00276700956362866,16741
"22","Chinesevirus",0.00268569012600215,16249
"23","Wuhan",0.0026698229186604,16153
"24","Whitehouse",0.0026283367827981,15902
"25","Obamagate",0.00257098343959404,15555
"26","Qanon",0.00246553262413528,14917
"27","Watch",0.00243330235922234,14722
"28","Virusoutbreak",0.00236338747687272,14299
"29","Wuhanvirus",0.00235578444002146,14253
"30","Warriors",0.00234471045156419,14186
"31","Pakistan",0.00228438200698355,13821
"32","Staysafe",0.0022404166199741,13555
"33","Cdc",0.00212554465015618,12860
"34","Borisjohnson",0.00204158067797271,12352
"35","Helpfultipstobeat",0.00190356903078139,11517
"36","Vaccine",0.00190026336258519,11497
"37","Trump2020",0.00188191690409628,11386
"38","Killercuomo",0.00187745425203142,11359
"39","Dominiccummings",0.00180935748718971,10947
"40","Usnscomfort",0.00170754290674677,10331
"41","Odisha",0.00164027255895411,9924
"42","Plandemic",0.0016384544414462,9913
"43","Georgefloyd",0.00163167782164399,9872
"44","Nhs",0.00161432306361395,9767
"45","Mentalhealth",0.00161118267882756,9748
"46","Cummings",0.00158969583555226,9618
"47","Kag2020",0.0015604406720159,9441
"48","Maga",0.00149713712605868,9058
"49","Iots",0.0014892035223878,9010
"50","Billgates",0.00146705554547327,8876
"51","Viru",0.00146474157773593,8862
"52","Health",0.00143713924829766,8695
"53","Nigeria",0.00142804866075812,8640
"54","Ramadan",0.00142375129210306,8614
"55","Mothersday",0.00140540483361415,8503
"56","Lockdownuk",0.00138209987283094,8362
"57","Auspol",0.00136160473001451,8238
"58","Kag",0.00135995189591641,8228
"59","Tcot",0.00135069602496705,8172
"60","Update",0.00133582051808415,8082
"61","Ccpvirus",0.00132755634759366,8032
"62","Quarantine",0.00132474652962689,8015
"63","Viruspandemic",0.00131334197435,7946
"64","Ppe",0.00129945816792596,7862
"65","Worldpressfreedomday",0.00129730948359843,7849
"66","Ccot",0.00128970644674717,7803
"67","Smoking",0.00128722719560002,7788
"68","Wwg1wga",0.00127152527166808,7693
"69","Usa",0.00126722790301302,7667
"70","N95",0.00124094784085323,7508
"71","Remdesivir",0.00123962557357475,7500
"72","Vir",0.00123912972334532,7497
"73","Cardiovascular",0.0012321878201333,7455
"74","Fauci",0.00119351150223777,7221
"75","Magats",0.00118838771653366,7190
"76","Isthisthewaytobarnardcastle",0.00117714844466659,7122
"77","Turkey",0.00117136352532324,7087
"78","Standwithhongkong",0.00115979368663654,7017
"79","Foxandfriends",0.00115533103457167,6990
"80","Heels",0.00114987668204794,6957
"81","Foxnews",0.00108310218448471,6553
"82","Cdnpoli",0.00106806139419201,6462
"83","Thelastdance",0.00106740026055277,6458
"84","Virusupdates",0.00106673912691353,6454
"85","Stayhomestaysafe",0.0010431035993107,6311
"86","Anonymous",0.00102244317308446,6186
"87","Takeresponsibility",0.00101831108783921,6161
"88","Gujarat",0.00100938578370947,6107
"89","Migrantworkers",0.00100888993348004,6104
"90","Giveaway",0.0010065759657427,6090
"91","Iot",0.000991865742269612,6001
"92","Nationaldayofprayer",0.000988560074073413,5981
"93","Brexit",0.000980626470402534,5933
"94","Ladakh",0.000974676267649376,5897
"95","Stayhomesavelives",0.000968230214666787,5858
"96","Germany",0.000966412097158877,5847
"97","Report",0.000962445295323438,5823
"98","Africa",0.000961618878274388,5818
"99","News",0.000959470193946859,5805
"100","Brazil",0.000956329809160469,5786
"101","Hongkongers",0.000945090537293392,5718
"102","Exposecbs",0.000943107136375672,5706
"103","Delhi",0.000941950152507002,5699
"104","Climatechange",0.000939801468179473,5686
"105","Oann",0.000927239929033915,5610
"106","60Minutes",0.000927074645624105,5609
"107","Chinese",0.000914843673298168,5535
"108","Virusuk",0.000909224037364629,5501
"109","Wetmarkets",0.00090162100051337,5455
"110","Vaccines",0.000895340230940592,5417
"111","Australia",0.000893356830022872,5405
"112","Staysafestayhealthy",0.000887902477499143,5372
"113","Wha73",0.000886745493630473,5365
"114","Icymi",0.000885588509761803,5358
"115","Russia",0.000884762092712754,5353
"116","Chinavirus",0.000879968873828265,5324
"117","Dogcatmeattrade",0.000879968873828265,5324
"118","Maharashtra",0.000856002779405819,5179
"119","Healthcare",0.000841457839342542,5091
"120","New",0.000840135572064063,5083
"121","Economy",0.000835838203409003,5057
"122","Banyulin",0.000824598931541926,4989
"123","Italy",0.000818648728788767,4953
"124","Torkham",0.000815838910821997,4936
"125","Georgia",0.000808235873970739,4890
"126","Trumpvirus",0.00080476492236473,4869
"127","Tanzania",0.00080377322190587,4863
"128","Dogs",0.000798814719611571,4833
"129","Michigan",0.000793525650497652,4801
"130","Syria",0.000791542249579932,4789
"131","Eidmubarak",0.000789062998432783,4774
"132","Tamilnadu",0.000770055406304636,4659
"133","Kerala",0.000768402572206537,4649
"134","Israel",0.000768072005386917,4647
"135","Nationalsecuritylaw",0.000764766337190718,4627
"136","Maythe4th",0.000756832733519839,4579
"137","2019",0.000756336883290409,4576
"138","Xijinping",0.000756006316470789,4574
"139","Caa",0.00075352706532364,4559
"140","Spain",0.000741626659817322,4487
"141","Yemen",0.000739643258899603,4475
"142","Quarantinelife",0.000733197205917014,4436
"143","Hcq",0.000731709655228724,4427
"144","Morningjoe",0.000728403987032525,4407
"145","Saudiarabia",0.000727742853393285,4403
"146","Nyc",0.000726916436344235,4398
"147","Canada",0.000717825848804687,4343
"148","Factsarefriendly",0.000716173014706587,4333
"149","50Swomen",0.000711379795822098,4304
"150","Madagascar",0.000711379795822098,4304
"151","Mumbai",0.000711379795822098,4304
"152","Cnn",0.000710388095363238,4298
"153","Executiveorder",0.000709892245133808,4295
"154","California",0.000706917143757229,4277
"155","Democrats",0.00070361147556103,4257
"156","Trumpdeathtoll95k",0.000690058235956612,4175
"157","Nationalnursesday",0.000685265017072123,4146
"158","Chennai",0.000683281616154404,4134
"159","Mptetjoining",0.000675513295893335,4087
"160","America",0.000675017445663905,4084
"161","Now",0.000672207627697136,4067
"162","Buharidoppelgänger",0.000667910259042077,4041
"163","Memorialday",0.000667414408812647,4038
"164","Marr",0.000662125339698728,4006
"165","Beijing",0.00065138191806108,3941
"166","Blacklivesmatter",0.000647910966455071,3920
"167","Lockdownextension",0.000646588699176591,3912
"168","Cycloneamphan",0.000644605298258872,3900
"169","Masks",0.000643778881209822,3895
"170","Srilanka",0.000640307929603812,3874
"171","Gravitas",0.000638820378915523,3865
"172","Newyork",0.000633861876621224,3835
"173","Lka",0.000620473920426616,3754
"174","Borishasfailed",0.000617994669279467,3739
"175","Uae",0.000615680701542127,3725
"176","Givingtuesdaynow",0.000615515418132317,3724
"177","Webinar",0.000613036166985168,3709
"178","Deepstate",0.000611548616296878,3700
"179","Handhygiene",0.000608573514920299,3682
"180","Lagos",0.000608573514920299,3682
"181","Live",0.00060427614626524,3656
"182","Texas",0.00060278859557695,3647
"183","Heroesact",0.00060163161170828,3640
"184","Humanrights",0.000597830093282651,3617
"185","U0001f1fa",0.000597003676233601,3612
"186","Innerengineeringonline",0.000594689708496261,3598
"187","Metoo",0.000580805902072224,3514
"188","Mask",0.000577996084105455,3497
"189","Aarogyasetu",0.000577830800695645,3496
"190","Cybersecurity",0.000572707014991536,3465
"191","Virusupdate",0.000572707014991536,3465
"192","Kashmir",0.000572211164762106,3462
"193","Breakingnews",0.000568244362926667,3438
"194","Masstestingnowph",0.000560641326075408,3392
"195","Costco",0.000558162074928259,3377
"196","Radiobiafr",0.000556674524239969,3368
"197","Obamagreat",0.000556509240830159,3367
"198","Business",0.00055171602194567,3338
"199","Strongertogether",0.00055072432148681,3332
"200","Flynn",0.000550559038077,3331
"201","Ireland",0.00054956733761814,3325
"202","Loto",0.000548245070339661,3317
"203","Florida",0.000547749220110231,3314
"204","Openamericanow",0.000546261669421941,3305
"205","Eid",0.000542460150996312,3282
"206","Indianarmy",0.000541303167127642,3275
"207","Physicaldistancing",0.000539650333029542,3265
"208","Commencement2020",0.000538162782341253,3256
"209","Reopenamerica",0.000535848814603913,3242
"210","Handwashing",0.000535518247784293,3240
"211","Liquorshops",0.000533700130276384,3229
"212","Viruslockdown",0.000529237478211515,3202
"213","Education",0.000528576344572275,3198
"214","Ahmedabad",0.000523617842277976,3168
"215","Flattenthecurve",0.000516675939065957,3126
"216","Flu",0.000515849522016907,3121
"217","Mentalhealthawarenessweek",0.000513370270869758,3106
"218","Inconversationwithrahulgandhi",0.000510560452902988,3089
