"","hashtags","Freq","Count"
"1","China",0.0215225444918147,130216
"2","Lockdown",0.0155620941672476,94154
"3","Breaking",0.0113931507216108,68931
"4","Hongkong",0.00949156509174717,57426
"5","Stayhome",0.0072567681077066,43905
"6","Trump",0.00655233021509652,39643
"7","India",0.00618143424348296,37399
"8","Iran",0.00522394745045382,31606
"9","Pandemic",0.00467256199532777,28270
"10","Indiafightscorona",0.0045719043987535,27661
"11","Hydroxychloroquine",0.00454331036885637,27488
"12","Sarscov2",0.00385804535178425,23342
"13","Taiwan",0.00374499149947423,22658
"14","Ccp",0.00363590444899966,21998
"15","Fakenews",0.00348896749767859,21109
"16","Stayathome",0.00331227953259174,20040
"17","Stayalert",0.00317360675176118,19201
"18","Socialdistancing",0.00301724864608095,18255
"19","Who",0.00284469276623934,17211
"20","Wuhan",0.00266701310069363,16136
"21","Chinesevirus",0.00264585682423795,16008
"22","Whitehouse",0.00262817149938829,15901
"23","Obamagate",0.00257098343959404,15555
"24","Qanon",0.00246702017482357,14926
"25","Watch",0.00231413302074935,14001
"26","Staysafe",0.00225396985957852,13637
"27","Pakistan",0.00222471469604216,13460
"28","Cdc",0.0021258752169758,12862
"29","Coronawarriors",0.002059596569642,12461
"30","Borisjohnson",0.00204125011115309,12350
"31","Helpfultipstobeatcorona",0.00189166862527507,11445
"32","Trump2020",0.00188191690409628,11386
"33","Killercuomo",0.00187745425203142,11359
"34","Vaccine",0.00181530768994287,10983
"35","Dominiccummings",0.00180935748718971,10947
"36","Usnscomfort",0.00170754290674677,10331
"37","Odisha",0.0016417601096424,9933
"38","Plandemic",0.0016384544414462,9913
"39","Georgefloyd",0.00163167782164399,9872
"40","Nhs",0.00161415778020414,9766
"41","Mentalhealth",0.00161068682859813,9745
"42","Cummings",0.00158126638165195,9567
"43","Kag2020",0.0015604406720159,9441
"44","Maga",0.00149713712605868,9058
"45","Covidiots",0.00148903823897799,9009
"46","Billgates",0.00146705554547327,8876
"47","Health",0.00146606384501441,8870
"48","Ramadan",0.00142424714233249,8617
"49","Mothersday",0.00140540483361415,8503
"50","Lockdownuk",0.00138193458942113,8361
"51","Wwg1wga",0.00137036475073444,8291
"52","Wuhancoronavirus",0.00136177001342432,8239
"53","Auspol",0.00136160473001451,8238
"54","Kag",0.00135995189591641,8228
"55","Covid19uk",0.00135234885906515,8182
"56","Tcot",0.00135069602496705,8172
"57","Ccpvirus",0.00132788691441328,8034
"58","Ppe",0.00129995401815539,7865
"59","Worldpressfreedomday",0.00129730948359843,7849
"60","Ccot",0.00128970644674717,7803
"61","Smoking",0.0012885494628785,7796
"62","Quarantine",0.001260285999801,7625
"63","N95",0.00124094784085323,7508
"64","Remdesivir",0.00123946029016494,7499
"65","Cardiovascular",0.0012321878201333,7455
"66","Fauci",0.00119483376951625,7229
